,wid,links,county,city,state,population,watertype
8447,SD4600396,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=SD4600396&state=SD&source=Ground%20water&population=42&sys_num=0,FALL RIVER,EDGEMONT,SD,42,Ground water
33953,NY4404394,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY4404394&state=NY&source=Surface%20water&population=11128&sys_num=0,ST. LAWRENCE,OGDENSBURG (C),NY,11128,Surface water
9922,KS2013911,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2013911&state=KS&source=Surface%20water%20purchased&population=693&sys_num=0,OSAGE,SCRANTON,KS,693,Surface water purchased
40038,CA1502164,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA1502164&state=CA&source=Ground%20water&population=71&sys_num=0,KERN,NOT REPORTED,CA,71,Ground water
18460,IL0855100,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0855100&state=IL&source=Ground%20water&population=425&sys_num=0,JO DAVIESS,NOT REPORTED,IL,425,Ground water
12521,IA3146055,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA3146055&state=IA&source=Ground%20water&population=374&sys_num=0,DUBUQUE,HOLY CROSS,IA,374,Ground water
37027,MI0004690,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0004690&state=MI&source=Surface%20water%20purchased&population=4700&sys_num=0,MACOMB,NEW HAVEN,MI,4700,Surface water purchased
25876,GA0270009,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA0270009&state=GA&source=Ground%20water&population=107&sys_num=0,BROOKS,NOT REPORTED,GA,107,Ground water
9112,NE3115909,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3115909&state=NE&source=Ground%20water&population=100&sys_num=0,SEWARD,MILFORD,NE,100,Ground water
36628,MI0040273,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0040273&state=MI&source=Ground%20water&population=135&sys_num=0,KENT,NOT REPORTED,MI,135,Ground water
2231,WA5397500,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5397500&state=WA&source=Ground%20water&population=2467&sys_num=0,LEWIS,NOT REPORTED,WA,2467,Ground water
42563,VT0020997,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VT0020997&state=VT&source=Ground%20water&population=450&sys_num=0,WASHINGTON,WAITSFIELD,VT,450,Ground water
36825,MI0003741,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0003741&state=MI&source=Surface%20water&population=6800&sys_num=0,BERRIEN,NOT REPORTED,MI,6800,Surface water
3629,AZ0411151,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AZ0411151&state=AZ&source=Ground%20water%20purchased&population=37&sys_num=0,PINAL,CASA GRANDE,AZ,37,Ground water purchased
41517,TX0260002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX0260002&state=TX&source=Ground%20water&population=1376&sys_num=0,BURLESON,NOT REPORTED,TX,1376,Ground water
8007,ND1900731,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ND1900731&state=ND&source=Surface%20water%20purchased&population=221&sys_num=0,GRANT,NEW LEIPZIG,ND,221,Surface water purchased
47469,MD0100210,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0100210&state=MD&source=Ground%20water&population=80&sys_num=0,FREDERICK,NOT REPORTED,MD,80,Ground water
5367,MT0000504,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0000504&state=MT&source=Ground%20water&population=70&sys_num=0,RAVALLI,HAMILTON,MT,70,Ground water
39036,CA3310083,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA3310083&state=CA&source=Ground%20water&population=0&sys_num=0,RIVERSIDE,NOT REPORTED,CA,0,Ground water
47654,MD0060203,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0060203&state=MD&source=Ground%20water&population=150&sys_num=0,CARROLL,NOT REPORTED,MD,150,Ground water
15419,LA1019042,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1019042&state=LA&source=Ground%20water&population=3075&sys_num=0,CALCASIEU PARISH,NOT REPORTED,LA,3075,Ground water
47630,MD0060017,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0060017&state=MD&source=Groundwater%20under%20influence%20of%20surface%20water&population=2436&sys_num=0,CARROLL,NOT REPORTED,MD,2436,Groundwater under influence of surface water
35873,ME0091780,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ME0091780&state=ME&source=Ground%20water&population=63&sys_num=0,PENOBSCOT,ORRINGTON,ME,63,Ground water
25417,GA2410000,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA2410000&state=GA&source=Surface%20water%20purchased&population=7225&sys_num=0,RABUN,CLAYTON,GA,7225,Surface water purchased
8638,NE3118703,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3118703&state=NE&source=Ground%20water&population=234&sys_num=0,YORK,BENEDICT,NE,234,Ground water
42354,VT0005240,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VT0005240&state=VT&source=Ground%20water&population=63&sys_num=0,RUTLAND,KILLINGTON,VT,63,Ground water
3028,OR4100857,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100857&state=OR&source=Surface%20water%20purchased&population=6650&sys_num=0,JACKSON,NOT REPORTED,OR,6650,Surface water purchased
6669,CO0123314,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0123314&state=CO&source=Surface%20water&population=9428&sys_num=0,GARFIELD,NOT REPORTED,CO,9428,Surface water
38746,CA0810003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA0810003&state=CA&source=Ground%20water%20purchased&population=1600&sys_num=0,DEL NORTE,NOT REPORTED,CA,1600,Ground water purchased
37528,MI0040455,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0040455&state=MI&source=Ground%20water&population=185&sys_num=0,SHIAWASSEE,NOT REPORTED,MI,185,Ground water
