,wid,links,county,city,state,population,watertype
36959,MI0060675,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0060675&state=MI&source=Ground%20water&population=78&sys_num=0,VAN BUREN,NOT REPORTED,MI,78,Ground water
45906,NH1973050,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH1973050&state=NH&source=Ground%20water&population=140&sys_num=0,ROCKINGHAM,RAYMOND,NH,140,Ground water
3673,AZ0408122,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AZ0408122&state=AZ&source=Ground%20water%20purchased&population=560&sys_num=0,MOHAVE,LAKE HAVASU CITY,AZ,560,Ground water purchased
18788,IL0991050,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0991050&state=IL&source=Ground%20water&population=2371&sys_num=0,LASALLE,SENECA,IL,2371,Ground water
45763,NH2194010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH2194010&state=NH&source=Ground%20water&population=228&sys_num=0,COOS,STEWARTSTOWN,NH,228,Ground water
43048,NH1861010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH1861010&state=NH&source=Ground%20water&population=5200&sys_num=0,MERRIMACK,PEMBROKE,NH,5200,Ground water
18480,IL1670800,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL1670800&state=IL&source=Ground%20water%20purchased&population=1346&sys_num=0,SANGAMON,NOT REPORTED,IL,1346,Ground water purchased
48102,MD0080013,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0080013&state=MD&source=Ground%20water&population=139&sys_num=0,CHARLES,NOT REPORTED,MD,139,Ground water
39683,CA1910155,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA1910155&state=CA&source=Surface%20water%20purchased&population=271677&sys_num=0,LOS ANGELES,NOT REPORTED,CA,271677,Surface water purchased
4541,UTAH27020,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=UTAH27020&state=UT&source=Ground%20water%20purchased&population=750&sys_num=0,WASHINGTON,NOT REPORTED,UT,750,Ground water purchased
30448,WV3301966,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WV3301966&state=WV&source=Ground%20water&population=287&sys_num=0,JEFFERSON,CHARLES TOWN,WV,287,Ground water
8849,NE3120014,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3120014&state=NE&source=Ground%20water&population=180&sys_num=0,DAWSON,LEXINGTON,NE,180,Ground water
31166,PA4440001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA4440001&state=PA&source=Ground%20water&population=65&sys_num=0,MIFFLIN,NOT REPORTED,PA,65,Ground water
20607,OH1301012,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OH1301012&state=OH&source=Ground%20water&population=6400&sys_num=0,CLERMONT,NOT REPORTED,OH,6400,Ground water
9390,KS2009501,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2009501&state=KS&source=Ground%20water&population=470&sys_num=0,KINGMAN,CUNNINGHAM,KS,470,Ground water
11815,MN1580008,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MN1580008&state=MN&source=Ground%20water&population=3127&sys_num=0,PINE,PINE CITY,MN,3127,Ground water
39110,CA5010005,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA5010005&state=CA&source=Ground%20water&population=24440&sys_num=0,STANISLAUS,MODESTO,CA,24440,Ground water
17435,IL0190600,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0190600&state=IL&source=Ground%20water%20purchased&population=1300&sys_num=0,CHAMPAIGN,PHILO,IL,1300,Ground water purchased
37517,MI0007160,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0007160&state=MI&source=Ground%20water&population=448&sys_num=0,OAKLAND,NOT REPORTED,MI,448,Ground water
44906,NJ0123001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ0123001&state=NJ&source=Ground%20water%20purchased&population=660&sys_num=0,ATLANTIC,WEYMOUTH TWP-.0123,NJ,660,Ground water purchased
6383,CO0162121,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0162121&state=CO&source=Surface%20water%20purchased&population=2000&sys_num=0,WELD,NOT REPORTED,CO,2000,Surface water purchased
4631,ID6210009,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID6210009&state=ID&source=Ground%20water&population=120&sys_num=0,FRANKLIN,NOT REPORTED,ID,120,Ground water
23568,AL0000669,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AL0000669&state=AL&source=Ground%20water%20purchased&population=570&sys_num=0,HENRY,ABBEVILLE,AL,570,Ground water purchased
37001,MI0004480,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0004480&state=MI&source=Surface%20water%20purchased&population=1657&sys_num=0,GENESEE,MONTROSE,MI,1657,Surface water purchased
35194,NY5601499,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5601499&state=NY&source=Ground%20water&population=27&sys_num=0,WARREN,CHESTER  (T),NY,27,Ground water
34347,NY5201442,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5201442&state=NY&source=Ground%20water&population=66&sys_num=0,SULLIVAN,BETHEL (T),NY,66,Ground water
25017,FL5364151,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL5364151&state=FL&source=Surface%20water%20purchased&population=1200&sys_num=0,LEE,N. FORT MYERS,FL,1200,Surface water purchased
6516,CO0101185,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0101185&state=CO&source=Surface%20water%20purchased&population=1000&sys_num=0,ADAMS,NOT REPORTED,CO,1000,Surface water purchased
35416,NY3730182,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3730182&state=NY&source=Ground%20water%20purchased&population=500&sys_num=0,OSWEGO,MEXICO (T),NY,500,Ground water purchased
38349,PR0364073,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PR0364073&state=PR&source=Ground%20water&population=156&sys_num=0,SAN GERMAN MUNICIPIO,SAN GERMAN,PR,156,Ground water
21772,TN0008228,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TN0008228&state=TN&source=Surface%20water%20purchased&population=384&sys_num=0,SEQUATCHIE,NOT REPORTED,TN,384,Surface water purchased
128,WA5306147,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5306147&state=WA&source=Ground%20water&population=56&sys_num=0,ISLAND,NOT REPORTED,WA,56,Ground water
27944,NC0459114,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0459114&state=NC&source=Ground%20water%20purchased&population=367&sys_num=0,MARTIN,EVERETTS,NC,367,Ground water purchased
37050,MI0004847,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0004847&state=MI&source=Surface%20water&population=1&sys_num=0,OTTAWA,GRAND HAVEN,MI,1,Surface water
15725,LA1033132,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1033132&state=LA&source=Ground%20water&population=300&sys_num=0,EAST BATON ROUGE PARISH,NOT REPORTED,LA,300,Ground water
11293,MN1130003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MN1130003&state=MN&source=Ground%20water&population=3896&sys_num=0,CHISAGO,CHISAGO CITY,MN,3896,Ground water
32129,PA6170053,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6170053&state=PA&source=Surface%20water%20purchased&population=1828&sys_num=0,CLEARFIELD,NOT REPORTED,PA,1828,Surface water purchased
4062,AZ0407114,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AZ0407114&state=AZ&source=Ground%20water&population=258&sys_num=0,MARICOPA,BUCKEYE,AZ,258,Ground water
32927,NY3530071,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3530071&state=NY&source=Ground%20water&population=217&sys_num=0,ORANGE,WOODBURY (T),NY,217,Ground water
15684,LA1117024,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1117024&state=LA&source=Ground%20water&population=52&sys_num=0,WASHINGTON PARISH,NOT REPORTED,LA,52,Ground water
20426,OH7801415,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OH7801415&state=OH&source=Surface%20water%20purchased&population=8300&sys_num=0,TRUMBULL,NOT REPORTED,OH,8300,Surface water purchased
12542,IA2100701,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA2100701&state=IA&source=Ground%20water&population=5733&sys_num=0,BUENA VISTA<br>CLAY</br>,SPENCER,IA,5733,Ground water
37307,MI0004890,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0004890&state=MI&source=Ground%20water&population=488&sys_num=0,LENAWEE,BROOKLYN,MI,488,Ground water
46344,VT0005628,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VT0005628&state=VT&source=Ground%20water&population=147&sys_num=0,BENNINGTON,POWNAL,VT,147,Ground water
10214,OK2001608,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK2001608&state=OK&source=Ground%20water&population=432&sys_num=0,COMANCHE,NOT REPORTED,OK,432,Ground water
2554,OR4100006,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100006&state=OR&source=Ground%20water&population=46&sys_num=0,MARION,NOT REPORTED,OR,46,Ground water
5364,MT0002385,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0002385&state=MT&source=Ground%20water&population=4132&sys_num=0,MADISON,BIG SKY,MT,4132,Ground water
37689,AK2280074,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AK2280074&state=AK&source=Ground%20water&population=178&sys_num=0,YUKON-KOYUKUK CENSUS AREA,HOLY CROSS,AK,178,Ground water
3296,NV0005028,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NV0005028&state=NV&source=Ground%20water&population=240&sys_num=0,NYE,NOT REPORTED,NV,240,Ground water
762,WA5317035,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5317035&state=WA&source=Ground%20water&population=194&sys_num=0,ISLAND,NOT REPORTED,WA,194,Ground water
30930,PA6530015,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6530015&state=PA&source=Ground%20water&population=60&sys_num=0,POTTER,NOT REPORTED,PA,60,Ground water
19949,OH4400803,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OH4400803&state=OH&source=Surface%20water%20purchased&population=9481&sys_num=0,LAWRENCE,NOT REPORTED,OH,9481,Surface water purchased
2861,OR4101361,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4101361&state=OR&source=Surface%20water&population=80&sys_num=0,CURRY,NOT REPORTED,OR,80,Surface water
1092,WA5350075,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5350075&state=WA&source=Ground%20water&population=103&sys_num=0,PIERCE,NOT REPORTED,WA,103,Ground water
33845,NY1302118,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY1302118&state=NY&source=Ground%20water&population=190&sys_num=0,DUTCHESS,RED HOOK (T),NY,190,Ground water
