,wid,links,county,city,state,population,watertype
44821,NJ1348001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ1348001&state=NJ&source=Surface%20water%20purchased&population=11270&sys_num=0,MONMOUTH,SPRING LAKE BORO-1348,NJ,11270,Surface water purchased
19411,IN5235011,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5235011&state=IN&source=Ground%20water&population=475&sys_num=0,HUNTINGTON,WARREN,IN,475,Ground water
3582,AZ0407531,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AZ0407531&state=AZ&source=Ground%20water&population=10087&sys_num=0,MARICOPA,PHOENIX,AZ,10087,Ground water
43868,CT1189161,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT1189161&state=CT&source=Surface%20water%20purchased&population=115&sys_num=0,FAIRFIELD,RIDGEFIELD,CT,115,Surface water purchased
31856,PA6370034,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6370034&state=PA&source=Surface%20water&population=42940&sys_num=0,LAWRENCE,NOT REPORTED,PA,42940,Surface water
192,WA5309600,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5309600&state=WA&source=Ground%20water&population=109&sys_num=0,PIERCE,NOT REPORTED,WA,109,Ground water
36855,MI0003747,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0003747&state=MI&source=Surface%20water%20purchased&population=2628&sys_num=0,ALLEGAN,NOT REPORTED,MI,2628,Surface water purchased
4545,UTAH22019,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=UTAH22019&state=UT&source=Ground%20water&population=79&sys_num=0,SUMMIT,NOT REPORTED,UT,79,Ground water
37541,AK2260595,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AK2260595&state=AK&source=Surface%20water&population=220&sys_num=0,ALEUTIANS WEST CENSUS AREA,ADAK,AK,220,Surface water
40360,TX0010015,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX0010015&state=TX&source=Ground%20water&population=1206&sys_num=0,ANDERSON,NOT REPORTED,TX,1206,Ground water
976,WA5370350,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5370350&state=WA&source=Ground%20water&population=1003&sys_num=0,GRAYS HARBOR,NOT REPORTED,WA,1003,Ground water
9624,KS2010316,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2010316&state=KS&source=Surface%20water%20purchased&population=40&sys_num=0,LEAVENWORTH,LEAVENWORTH,KS,40,Surface water purchased
42884,NH1181020,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH1181020&state=NH&source=Ground%20water&population=2730&sys_num=0,MERRIMACK,HOOKSETT,NH,2730,Ground water
23196,AL0000828,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AL0000828&state=AL&source=Surface%20water%20purchased&population=795&sys_num=0,LIMESTONE,ELKMONT,AL,795,Surface water purchased
34187,NY5800669,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5800669&state=NY&source=Groundwater%20under%20influence%20of%20surface%20water&population=75&sys_num=0,WAYNE,ARCADIA (T),NY,75,Groundwater under influence of surface water
35030,NY0111900,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0111900&state=NY&source=Surface%20water%20purchased&population=117&sys_num=0,ALBANY,NEW SCOTLAND (T),NY,117,Surface water purchased
23653,FL3424621,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL3424621&state=FL&source=Ground%20water&population=294&sys_num=0,MARION,BELLEVIEW,FL,294,Ground water
2276,OR4100013,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100013&state=OR&source=Ground%20water&population=100&sys_num=0,LINN,NOT REPORTED,OR,100,Ground water
36321,MI0001015,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0001015&state=MI&source=Ground%20water&population=50&sys_num=0,BENZIE,NOT REPORTED,MI,50,Ground water
30729,PA7210048,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA7210048&state=PA&source=Ground%20water&population=890&sys_num=0,CUMBERLAND,NOT REPORTED,PA,890,Ground water
23817,FL6094773,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL6094773&state=FL&source=Ground%20water&population=800&sys_num=0,CITRUS,LECANTO,FL,800,Ground water
30748,PA5630039,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA5630039&state=PA&source=Surface%20water&population=26330&sys_num=0,WASHINGTON,NOT REPORTED,PA,26330,Surface water
47841,MD0020044,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0020044&state=MD&source=Ground%20water&population=2241&sys_num=0,ANNE ARUNDEL,NOT REPORTED,MD,2241,Ground water
23362,AL0001002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AL0001002&state=AL&source=Ground%20water&population=35949&sys_num=0,MOBILE,THEODORE,AL,35949,Ground water
30203,WV3300809,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WV3300809&state=WV&source=Surface%20water%20purchased&population=752&sys_num=0,CLAY,CLAY,WV,752,Surface water purchased
47936,MD0180046,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0180046&state=MD&source=Ground%20water&population=514&sys_num=0,ST. MARY'S,NOT REPORTED,MD,514,Ground water
5523,MT0000213,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0000213&state=MT&source=Ground%20water&population=1000&sys_num=0,RICHLAND,FAIRVIEW,MT,1000,Ground water
13346,MO1010113,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO1010113&state=MO&source=Ground%20water%20purchased&population=3027&sys_num=0,JACKSON,BUCKNER,MO,3027,Ground water purchased
43805,MA1124002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MA1124002&state=MA&source=Ground%20water&population=300&sys_num=0,WORCESTER,HARDWICK,MA,300,Ground water
26943,SC4650056,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=SC4650056&state=SC&source=Ground%20water&population=75&sys_num=0,YORK,MCCONNELLS,SC,75,Ground water
41182,TX1290004,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX1290004&state=TX&source=Surface%20water&population=2304&sys_num=0,KAUFMAN,NOT REPORTED,TX,2304,Surface water
12225,IA7809078,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA7809078&state=IA&source=Ground%20water&population=812&sys_num=0,POTTAWATTAMIE,CARSON,IA,812,Ground water
32280,PA2450054,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA2450054&state=PA&source=Ground%20water&population=120&sys_num=0,MONROE,NOT REPORTED,PA,120,Ground water
39667,CA4700523,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA4700523&state=CA&source=Ground%20water&population=300&sys_num=0,SISKIYOU,NOT REPORTED,CA,300,Ground water
28918,NC0118135,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0118135&state=NC&source=Ground%20water&population=145&sys_num=0,CATAWBA,CONOVER,NC,145,Ground water
5242,ID7410033,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID7410033&state=ID&source=Ground%20water&population=924&sys_num=0,TETON,NOT REPORTED,ID,924,Ground water
17410,IL1030050,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL1030050&state=IL&source=Ground%20water&population=2700&sys_num=0,LEE,AMBOY,IL,2700,Ground water
26655,GA0290024,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA0290024&state=GA&source=Ground%20water&population=244&sys_num=0,BRYAN,NOT REPORTED,GA,244,Ground water
2309,OR4101259,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4101259&state=OR&source=Ground%20water&population=130&sys_num=0,DESCHUTES,NOT REPORTED,OR,130,Ground water
15227,AR0000307,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AR0000307&state=AR&source=Ground%20water&population=954&sys_num=0,LAWRENCE,NOT REPORTED,AR,954,Ground water
11639,MN1130024,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MN1130024&state=MN&source=Ground%20water&population=45&sys_num=0,CHISAGO,NOT REPORTED,MN,45,Ground water
