,wid,links,county,city,state,population,watertype
4533,UTAH29020,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=UTAH29020&state=UT&source=Surface%20water%20purchased&population=1300&sys_num=0,WEBER,NOT REPORTED,UT,1300,Surface water purchased
31999,PA6610011,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6610011&state=PA&source=Ground%20water%20purchased&population=185&sys_num=0,VENANGO,NOT REPORTED,PA,185,Ground water purchased
42474,VT0005179,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VT0005179&state=VT&source=Ground%20water&population=2700&sys_num=0,ORANGE,RANDOLPH,VT,2700,Ground water
27411,NC0304010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0304010&state=NC&source=Surface%20water&population=12750&sys_num=0,ANSON,LILESVILLE,NC,12750,Surface water
16008,LA1103041,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1103041&state=LA&source=Ground%20water&population=38612&sys_num=0,ST. TAMMANY PARISH,NOT REPORTED,LA,38612,Ground water
33709,NY5301417,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5301417&state=NY&source=Ground%20water&population=32&sys_num=0,TIOGA,OWEGO (V),NY,32,Ground water
34789,NY5405809,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5405809&state=NY&source=Groundwater%20under%20influence%20of%20surface%20water&population=90&sys_num=0,TOMPKINS,DRYDEN (T),NY,90,Groundwater under influence of surface water
9072,NE3107703,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3107703&state=NE&source=Ground%20water&population=300&sys_num=0,GREELEY,SCOTIA,NE,300,Ground water
26698,GA3190005,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA3190005&state=GA&source=Ground%20water&population=472&sys_num=0,WILKINSON,TOOMSBORO,GA,472,Ground water
36940,MI0004025,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0004025&state=MI&source=Ground%20water&population=95&sys_num=0,MARQUETTE,NOT REPORTED,MI,95,Ground water
42669,NH1392050,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH1392050&state=NH&source=Ground%20water&population=75&sys_num=0,ROCKINGHAM,LONDONDERRY,NH,75,Ground water
34518,NY5421825,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5421825&state=NY&source=Ground%20water&population=55&sys_num=0,TOMPKINS,NEWFIELD (T),NY,55,Ground water
42978,NH2232070,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH2232070&state=NH&source=Ground%20water&population=210&sys_num=0,ROCKINGHAM,STRATHAM,NH,210,Ground water
8258,SD4680004,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=SD4680004&state=SD&source=Surface%20water%20purchased&population=6827&sys_num=0,PENNINGTON,ELLSWORTH AFB,SD,6827,Surface water purchased
29587,VA4159500,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA4159500&state=VA&source=Ground%20water&population=198&sys_num=0,RICHMOND,NOT REPORTED,VA,198,Ground water
20799,OH6402303,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OH6402303&state=OH&source=Ground%20water%20purchased&population=2250&sys_num=0,PERRY,NOT REPORTED,OH,2250,Ground water purchased
44660,NJ1426002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ1426002&state=NJ&source=Ground%20water%20purchased&population=869&sys_num=0,MORRIS,MOUNT ARLINGTON BORO-1426,NJ,869,Ground water purchased
32601,NY5530246,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5530246&state=NY&source=Ground%20water&population=65&sys_num=0,ULSTER,NEW PALTZ (T),NY,65,Ground water
43359,MA1033000,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MA1033000&state=MA&source=Surface%20water&population=874&sys_num=0,HAMPDEN,BLANDFORD,MA,874,Surface water
832,WA5333969,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5333969&state=WA&source=Ground%20water&population=109&sys_num=0,KITSAP,NOT REPORTED,WA,109,Ground water
47808,MD0180041,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0180041&state=MD&source=Ground%20water&population=128&sys_num=0,ST. MARY'S,NOT REPORTED,MD,128,Ground water
3099,OR4100221,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100221&state=OR&source=Ground%20water&population=62&sys_num=0,WASHINGTON,NOT REPORTED,OR,62,Ground water
22071,MS0010010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0010010&state=MS&source=Ground%20water&population=295&sys_num=0,ADAMS,NOT REPORTED,MS,295,Ground water
44319,CT1609141,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT1609141&state=CT&source=Ground%20water&population=32&sys_num=0,TOLLAND,WILLINGTON,CT,32,Ground water
36941,MI0004140,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0004140&state=MI&source=Surface%20water%20purchased&population=2700&sys_num=0,MARQUETTE,NOT REPORTED,MI,2700,Surface water purchased
33106,NY5503366,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY5503366&state=NY&source=Ground%20water&population=4323&sys_num=0,ULSTER,ELLENVILLE (V),NY,4323,Ground water
39329,CA0400091,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA0400091&state=CA&source=Ground%20water&population=70&sys_num=0,BUTTE,NOT REPORTED,CA,70,Ground water
44719,NJ1904004,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ1904004&state=NJ&source=Ground%20water&population=105&sys_num=0,SUSSEX,BYRAM TWP.-1904,NJ,105,Ground water
46397,VT0005106,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VT0005106&state=VT&source=Ground%20water&population=970&sys_num=0,ESSEX,CANAAN,VT,970,Ground water
4831,ID3140041,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID3140041&state=ID&source=Ground%20water&population=846&sys_num=0,CANYON,NOT REPORTED,ID,846,Ground water
9329,KS2012512,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2012512&state=KS&source=Surface%20water%20purchased&population=2288&sys_num=0,MONTGOMERY,CHERRYVALE,KS,2288,Surface water purchased
37938,AK2224109,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AK2224109&state=AK&source=Ground%20water&population=100&sys_num=0,MATANUSKA-SUSITNA BOROUGH,WASILLA,AK,100,Ground water
