,wid,links,county,city,state,population,watertype
31716,PA2450111,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA2450111&state=PA&source=Ground%20water&population=70&sys_num=0,MONROE,NOT REPORTED,PA,70,Ground water
25472,GA1570088,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA1570088&state=GA&source=Ground%20water&population=38&sys_num=0,JACKSON,NOT REPORTED,GA,38,Ground water
38572,CA1000410,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA1000410&state=CA&source=Ground%20water&population=40&sys_num=0,FRESNO,NOT REPORTED,CA,40,Ground water
3795,AZ0402054,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AZ0402054&state=AZ&source=Ground%20water&population=340&sys_num=0,COCHISE,SIERRA VISTA,AZ,340,Ground water
7841,ND0600119,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ND0600119&state=ND&source=Ground%20water&population=1650&sys_num=0,BOWMAN,BOWMAN,ND,1650,Ground water
2501,OR4100297,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100297&state=OR&source=Surface%20water&population=1000&sys_num=0,POLK,NOT REPORTED,OR,1000,Surface water
12811,IA5358096,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA5358096&state=IA&source=Ground%20water&population=197&sys_num=0,JONES,ONSLOW,IA,197,Ground water
19893,IN5206014,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5206014&state=IN&source=Surface%20water%20purchased&population=3664&sys_num=0,BOONE,ZIONSVILLE,IN,3664,Surface water purchased
29946,VA5031825,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA5031825&state=VA&source=Ground%20water&population=200&sys_num=0,CAMPBELL,NOT REPORTED,VA,200,Ground water
10775,OK2005804,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK2005804&state=OK&source=Ground%20water&population=700&sys_num=0,OTTAWA,NOT REPORTED,OK,700,Ground water
17786,IL1975520,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL1975520&state=IL&source=Ground%20water&population=180&sys_num=0,WILL,CRETE,IL,180,Ground water
28797,NC1012017,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC1012017&state=NC&source=Surface%20water%20purchased&population=70&sys_num=0,BURKE,RHODHISS,NC,70,Surface water purchased
7998,ND4701151,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ND4701151&state=ND&source=Ground%20water%20purchased&population=87&sys_num=0,STUTSMAN,MONTPELIER,ND,87,Ground water purchased
43505,MA4131000,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MA4131000&state=MA&source=Surface%20water&population=46924&sys_num=0,PLYMOUTH,HINGHAM,MA,46924,Surface water
27836,NC0136065,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0136065&state=NC&source=Surface%20water&population=6795&sys_num=0,GASTON,DALLAS,NC,6795,Surface water
22514,MS0520005,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0520005&state=MS&source=Ground%20water&population=549&sys_num=0,NOXUBEE,NOT REPORTED,MS,549,Ground water
7959,ND0300553,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ND0300553&state=ND&source=Ground%20water&population=427&sys_num=0,BENSON,LEEDS,ND,427,Ground water
29256,VA3093200,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA3093200&state=VA&source=Ground%20water&population=268&sys_num=0,ISLE OF WIGHT,NOT REPORTED,VA,268,Ground water
23554,AL0000087,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AL0000087&state=AL&source=Ground%20water&population=1407&sys_num=0,BARBOUR,CLAYTON,AL,1407,Ground water
41762,TX0200379,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX0200379&state=TX&source=Ground%20water&population=135&sys_num=0,BRAZORIA,NOT REPORTED,TX,135,Ground water
39638,CA3600279,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA3600279&state=CA&source=Ground%20water&population=230&sys_num=0,SAN BERNARDINO,NOT REPORTED,CA,230,Ground water
27750,NC0424060,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0424060&state=NC&source=Surface%20water%20purchased&population=1700&sys_num=0,COLUMBUS,TABOR CITY,NC,1700,Surface water purchased
29966,VA1185365,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA1185365&state=VA&source=Surface%20water%20purchased&population=605&sys_num=0,TAZEWELL,NOT REPORTED,VA,605,Surface water purchased
47553,MD0140001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0140001&state=MD&source=Ground%20water&population=481&sys_num=0,KENT,NOT REPORTED,MD,481,Ground water
43673,MA1256000,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MA1256000&state=MA&source=Ground%20water&population=1228&sys_num=0,HAMPDEN,RUSSELL,MA,1228,Ground water
42710,NH0882080,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH0882080&state=NH&source=Ground%20water&population=90&sys_num=0,BELKNAP,GILFORD,NH,90,Ground water
28139,NC0291010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0291010&state=NC&source=Surface%20water&population=17284&sys_num=0,VANCE,HENDERSON,NC,17284,Surface water
11709,MN1020015,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MN1020015&state=MN&source=Ground%20water&population=1200&sys_num=0,ANOKA,NOT REPORTED,MN,1200,Ground water
17030,WI1570094,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI1570094&state=WI&source=Ground%20water&population=37&sys_num=0,SAUK,MERRIMAC,WI,37,Ground water
8874,NE3108908,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3108908&state=NE&source=Ground%20water&population=100&sys_num=0,HOLT,O'NEILL,NE,100,Ground water
25142,GA0190000,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA0190000&state=GA&source=Ground%20water&population=642&sys_num=0,BERRIEN,ALAPAHA,GA,642,Ground water
24095,FL1204065,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL1204065&state=FL&source=Ground%20water&population=40&sys_num=0,GADSDEN,QUNICY,FL,40,Ground water
33914,NY3100572,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3100572&state=NY&source=Surface%20water&population=31568&sys_num=0,NIAGARA,NORTH TONAWANDA (C),NY,31568,Surface water
