Geography,Total
"Chase County, Kansas",100
"Chautauqua County, Kansas",87
"Cherokee County, Kansas",424
"Cheyenne County, Kansas",142
"Clark County, Kansas",163
"Clay County, Kansas",162
"Cloud County, Kansas",283
"Coffey County, Kansas",176
"Comanche County, Kansas",73
"Cowley County, Kansas","3,292"
"Crawford County, Kansas","1,762"
"Decatur County, Kansas",30
"Dickinson County, Kansas",769
"Doniphan County, Kansas",165
"Douglas County, Kansas","5,651"
"Edwards County, Kansas",534
"Elk County, Kansas",79
"Ellis County, Kansas","1,299"
"Ellsworth County, Kansas",322
"Finney County, Kansas","17,182"
"Ford County, Kansas","17,321"
"Franklin County, Kansas",937
"Geary County, Kansas","4,252"
"Gove County, Kansas",42
"Graham County, Kansas",59
"Grant County, Kansas","3,439"
"Gray County, Kansas",855
"Greeley County, Kansas",171
"Greenwood County, Kansas",220
"Hamilton County, Kansas",827
"Harper County, Kansas",298
"Harvey County, Kansas","3,747"
"Haskell County, Kansas","1,149"
"Hodgeman County, Kansas",118
"Jackson County, Kansas",438
"Jefferson County, Kansas",339
"Jewell County, Kansas",63
"Johnson County, Kansas","38,949"
"Kearny County, Kansas","1,135"
"Kingman County, Kansas",199
"Kiowa County, Kansas",99
"Labette County, Kansas",875
"Lane County, Kansas",74
"Leavenworth County, Kansas","4,308"
"Lincoln County, Kansas",72
"Linn County, Kansas",186
"Logan County, Kansas",80
"Lyon County, Kansas","6,755"
"McPherson County, Kansas","1,025"
"Marion County, Kansas",296
"Marshall County, Kansas",193
"Meade County, Kansas",676
"Miami County, Kansas",828
"Mitchell County, Kansas",73
"Montgomery County, Kansas","1,844"
"Morris County, Kansas",212
"Morton County, Kansas",623
"Nemaha County, Kansas",121
"Neosho County, Kansas",686
"Ness County, Kansas",229
"Norton County, Kansas",240
"Osage County, Kansas",330
"Osborne County, Kansas",46
"Ottawa County, Kansas",121
"Pawnee County, Kansas",461
"Phillips County, Kansas",121
"Pottawatomie County, Kansas",957
"Pratt County, Kansas",525
"Rawlins County, Kansas",80
"Reno County, Kansas","5,209"
"Republic County, Kansas",53
"Rice County, Kansas","1,018"
"Riley County, Kansas","4,610"
"Rooks County, Kansas",107
"Rush County, Kansas",84
"Russell County, Kansas",115
"Saline County, Kansas","5,403"
"Scott County, Kansas",753
"Sedgwick County, Kansas","64,636"
"Seward County, Kansas","12,990"
"Shawnee County, Kansas","19,303"
"Sheridan County, Kansas",84
"Sherman County, Kansas",647
"Smith County, Kansas",57
"Stafford County, Kansas",529
"Stanton County, Kansas",828
"Stevens County, Kansas","1,866"
"Sumner County, Kansas","1,097"
"Thomas County, Kansas",370
"Trego County, Kansas",51
"Wabaunsee County, Kansas",205
"Wallace County, Kansas",108
"Washington County, Kansas",144
"Wichita County, Kansas",550
"Wilson County, Kansas",217
"Woodson County, Kansas",69
"Wyandotte County, Kansas","41,633"
"Adair County, Kentucky",319
"Allen County, Kentucky",297
"Anderson County, Kentucky",288
"Ballard County, Kentucky",90
"Barren County, Kentucky","1,110"
"Bath County, Kentucky",157
"Bell County, Kentucky",198
"Boone County, Kentucky","4,205"
"Bourbon County, Kentucky","1,368"
"Boyd County, Kentucky",714
"Boyle County, Kentucky",796
"Bracken County, Kentucky",96
"Breathitt County, Kentucky",89
"Breckinridge County, Kentucky",175
"Bullitt County, Kentucky","1,038"
"Butler County, Kentucky",322
"Caldwell County, Kentucky",129
"Calloway County, Kentucky",890
"Campbell County, Kentucky","1,495"
"Carlisle County, Kentucky",83
"Carroll County, Kentucky",789
"Carter County, Kentucky",321
"Casey County, Kentucky",378
"Christian County, Kentucky","4,541"
"Clark County, Kentucky",891
"Clay County, Kentucky",402
"Clinton County, Kentucky",231
"Crittenden County, Kentucky",48
"Cumberland County, Kentucky",63
"Daviess County, Kentucky","2,525"
"Edmonson County, Kentucky",100
"Elliott County, Kentucky",62
"Estill County, Kentucky",101
"Fayette County, Kentucky","20,474"
"Fleming County, Kentucky",149
"Floyd County, Kentucky",219
"Franklin County, Kentucky","1,374"
"Fulton County, Kentucky",53
"Gallatin County, Kentucky",372
"Garrard County, Kentucky",403
"Grant County, Kentucky",577
"Graves County, Kentucky","2,099"
"Grayson County, Kentucky",258
"Green County, Kentucky",159
"Greenup County, Kentucky",284
"Hancock County, Kentucky",94
"Hardin County, Kentucky","5,317"
"Harlan County, Kentucky",210
"Harrison County, Kentucky",337
"Hart County, Kentucky",261
"Henderson County, Kentucky",858
"Henry County, Kentucky",447
"Hickman County, Kentucky",57
"Hopkins County, Kentucky",734
"Jackson County, Kentucky",84
"Jefferson County, Kentucky","32,542"
"Jessamine County, Kentucky","1,353"
"Johnson County, Kentucky",109
"Kenton County, Kentucky","4,225"
"Knott County, Kentucky",99
"Knox County, Kentucky",270
"Larue County, Kentucky",401
"Laurel County, Kentucky",717
"Lawrence County, Kentucky",77
"Lee County, Kentucky",58
"Leslie County, Kentucky",40
"Letcher County, Kentucky",124
"Lewis County, Kentucky",78
"Lincoln County, Kentucky",372
"Livingston County, Kentucky",123
"Logan County, Kentucky",651
"Lyon County, Kentucky",77
"McCracken County, Kentucky","1,383"
"McCreary County, Kentucky",392
"McLean County, Kentucky",106
"Madison County, Kentucky","1,813"
"Magoffin County, Kentucky",95
"Marion County, Kentucky",482
"Marshall County, Kentucky",350
"Martin County, Kentucky",388
"Mason County, Kentucky",248
"Meade County, Kentucky",859
"Menifee County, Kentucky",51
"Mercer County, Kentucky",490
"Metcalfe County, Kentucky",115
"Monroe County, Kentucky",289
"Montgomery County, Kentucky",660
"Morgan County, Kentucky",108
"Muhlenberg County, Kentucky",367
"Nelson County, Kentucky",888
"Nicholas County, Kentucky",98
"Ohio County, Kentucky",844
"Oldham County, Kentucky","2,133"
"Owen County, Kentucky",246
"Owsley County, Kentucky",39
"Pendleton County, Kentucky",143
"Perry County, Kentucky",185
"Pike County, Kentucky",446
"Powell County, Kentucky",132
"Pulaski County, Kentucky","1,318"
"Robertson County, Kentucky",22
"Rockcastle County, Kentucky",103
"Rowan County, Kentucky",294
"Russell County, Kentucky",585
"Scott County, Kentucky","1,994"
"Shelby County, Kentucky","3,812"
"Simpson County, Kentucky",325
"Spencer County, Kentucky",239
"Taylor County, Kentucky",433
"Todd County, Kentucky",494
"Trigg County, Kentucky",175
"Trimble County, Kentucky",223
"Union County, Kentucky",243
"Warren County, Kentucky","5,174"
"Washington County, Kentucky",393
"Wayne County, Kentucky",601
"Webster County, Kentucky",580
"Whitley County, Kentucky",310
"Wolfe County, Kentucky",41
"Woodford County, Kentucky","1,680"
"Acadia Parish, Louisiana","1,060"
"Allen Parish, Louisiana",342
"Ascension Parish, Louisiana","5,024"
"Assumption Parish, Louisiana",498
"Avoyelles Parish, Louisiana",606
"Beauregard Parish, Louisiana","1,003"
"Bienville Parish, Louisiana",207
"Bossier Parish, Louisiana","7,026"
"Caddo Parish, Louisiana","6,129"
"Calcasieu Parish, Louisiana","4,945"
"Caldwell Parish, Louisiana",222
"Cameron Parish, Louisiana",154
"Catahoula Parish, Louisiana",90
"Claiborne Parish, Louisiana",171
"Concordia Parish, Louisiana",209
"De Soto Parish, Louisiana",661
"East Baton Rouge Parish, Louisiana","16,274"
"East Carroll Parish, Louisiana",127
"East Feliciana Parish, Louisiana",208
"Evangeline Parish, Louisiana",776
"Franklin Parish, Louisiana",196
"Grant Parish, Louisiana",931
"Iberia Parish, Louisiana","2,299"
"Iberville Parish, Louisiana",664
"Jackson Parish, Louisiana",209
"Jefferson Parish, Louisiana","53,702"
"Jefferson Davis Parish, Louisiana",538
"Lafayette Parish, Louisiana","8,597"
"Lafourche Parish, Louisiana","3,647"
"LaSalle Parish, Louisiana",331
"Lincoln Parish, Louisiana","1,189"
"Livingston Parish, Louisiana","3,801"
"Madison Parish, Louisiana",188
"Morehouse Parish, Louisiana",255
"Natchitoches Parish, Louisiana",735
"Orleans Parish, Louisiana","18,051"
"Ouachita Parish, Louisiana","2,760"
"Plaquemines Parish, Louisiana","1,067"
"Pointe Coupee Parish, Louisiana",492
"Rapides Parish, Louisiana","3,418"
"Red River Parish, Louisiana",101
"Richland Parish, Louisiana",332
"Sabine Parish, Louisiana",820
"St. Bernard Parish, Louisiana","3,309"
"St. Charles Parish, Louisiana","2,648"
"St. Helena Parish, Louisiana",99
"St. James Parish, Louisiana",256
"St. John the Baptist Parish, Louisiana","2,175"
"St. Landry Parish, Louisiana","1,321"
"St. Martin Parish, Louisiana","1,071"
"St. Mary Parish, Louisiana","2,920"
"St. Tammany Parish, Louisiana","10,970"
"Tangipahoa Parish, Louisiana","4,260"
"Tensas Parish, Louisiana",65
"Terrebonne Parish, Louisiana","4,421"
"Union Parish, Louisiana",943
"Vermilion Parish, Louisiana","1,381"
"Vernon Parish, Louisiana","3,775"
"Washington Parish, Louisiana",887
"Webster Parish, Louisiana",670
"West Baton Rouge Parish, Louisiana",544
"West Carroll Parish, Louisiana",299
"West Feliciana Parish, Louisiana",251
"Winn Parish, Louisiana",240
"Androscoggin County, Maine","1,669"
"Aroostook County, Maine",667
"Cumberland County, Maine","5,045"
"Franklin County, Maine",315
"Hancock County, Maine",594
"Kennebec County, Maine","1,504"
"Knox County, Maine",337
"Lincoln County, Maine",287
"Oxford County, Maine",587
"Penobscot County, Maine","1,620"
"Piscataquis County, Maine",169
"Sagadahoc County, Maine",453
"Somerset County, Maine",409
"Waldo County, Maine",349
"Washington County, Maine",452
"York County, Maine","2,478"
"Allegany County, Maryland","1,085"
"Anne Arundel County, Maryland","32,902"
"Baltimore County, Maryland","33,735"
"Calvert County, Maryland","2,437"
"Caroline County, Maryland","1,816"
"Carroll County, Maryland","4,363"
"Cecil County, Maryland","3,407"
"Charles County, Maryland","6,259"
"Dorchester County, Maryland","1,130"
"Frederick County, Maryland","17,135"
"Garrett County, Maryland",220
"Harford County, Maryland","8,613"
"Howard County, Maryland","16,729"
"Kent County, Maryland",907
"Montgomery County, Maryland","165,398"
"Prince George's County, Maryland","128,972"
"Queen Anne's County, Maryland","1,452"
"St. Mary's County, Maryland","3,972"
"Somerset County, Maryland",863
"Talbot County, Maryland","2,073"
"Washington County, Maryland","5,104"
"Wicomico County, Maryland","4,478"
"Worcester County, Maryland","1,622"
"Baltimore city, Maryland","25,960"
"Barnstable County, Massachusetts","4,687"
"Berkshire County, Massachusetts","4,530"
"Bristol County, Massachusetts","33,020"
"Dukes County, Massachusetts",384
"Essex County, Massachusetts","122,745"
"Franklin County, Massachusetts","2,250"
"Hampden County, Massachusetts","96,776"
"Hampshire County, Massachusetts","7,455"
"Middlesex County, Massachusetts","98,350"
"Nantucket County, Massachusetts",957
"Norfolk County, Massachusetts","22,004"
"Plymouth County, Massachusetts","15,619"
"Suffolk County, Massachusetts","143,455"
"Worcester County, Massachusetts","75,422"
"Alcona County, Michigan",124
"Alger County, Michigan",114
"Allegan County, Michigan","7,454"
"Alpena County, Michigan",304
"Antrim County, Michigan",404
"Arenac County, Michigan",225
"Baraga County, Michigan",86
"Barry County, Michigan","1,336"
"Bay County, Michigan","5,093"
"Benzie County, Michigan",302
"Berrien County, Michigan","7,054"
"Branch County, Michigan","1,804"
"Calhoun County, Michigan","6,177"
"Cass County, Michigan","1,570"
"Charlevoix County, Michigan",359
"Cheboygan County, Michigan",211
"Chippewa County, Michigan",480
"Clare County, Michigan",464
"Clinton County, Michigan","2,947"
"Crawford County, Michigan",182
"Delta County, Michigan",318
"Dickinson County, Michigan",270
"Eaton County, Michigan","5,101"
"Emmet County, Michigan",429
"Genesee County, Michigan","12,983"
"Gladwin County, Michigan",310
"Gogebic County, Michigan",142
"Grand Traverse County, Michigan","1,874"
"Gratiot County, Michigan","2,301"
"Hillsdale County, Michigan",826
"Houghton County, Michigan",415
"Huron County, Michigan",657
"Ingham County, Michigan","20,526"
"Ionia County, Michigan","2,791"
"Iosco County, Michigan",403
"Iron County, Michigan",161
"Isabella County, Michigan","2,197"
"Jackson County, Michigan","4,837"
"Kalamazoo County, Michigan","9,959"
"Kalkaska County, Michigan",214
"Kent County, Michigan","58,437"
"Keweenaw County, Michigan",15
"Lake County, Michigan",243
"Lapeer County, Michigan","3,622"
"Leelanau County, Michigan",794
"Lenawee County, Michigan","7,614"
"Livingston County, Michigan","3,460"
"Luce County, Michigan",82
"Mackinac County, Michigan",126
"Macomb County, Michigan","19,095"
"Manistee County, Michigan",634
"Marquette County, Michigan",767
"Mason County, Michigan","1,150"
"Mecosta County, Michigan",731
"Menominee County, Michigan",278
"Midland County, Michigan","1,704"
"Missaukee County, Michigan",306
"Monroe County, Michigan","4,667"
"Montcalm County, Michigan","1,932"
"Montmorency County, Michigan",96
"Muskegon County, Michigan","8,261"
"Newaygo County, Michigan","2,663"
"Oakland County, Michigan","41,920"
"Oceana County, Michigan","3,629"
"Ogemaw County, Michigan",309
"Ontonagon County, Michigan",64
"Osceola County, Michigan",344
"Oscoda County, Michigan",79
"Otsego County, Michigan",299
"Ottawa County, Michigan","22,761"
"Presque Isle County, Michigan",116
"Roscommon County, Michigan",275
"Saginaw County, Michigan","15,573"
"St. Clair County, Michigan","4,708"
"St. Joseph County, Michigan","4,034"
"Sanilac County, Michigan","1,439"
"Schoolcraft County, Michigan",64
"Shiawassee County, Michigan","1,695"
"Tuscola County, Michigan","1,571"
"Van Buren County, Michigan","7,758"
"Washtenaw County, Michigan","13,860"
"Wayne County, Michigan","95,260"
"Wexford County, Michigan",519
"Aitkin County, Minnesota",151
"Anoka County, Minnesota","12,020"
"Becker County, Minnesota",398
"Beltrami County, Minnesota",676
"Benton County, Minnesota",632
"Big Stone County, Minnesota",41
"Blue Earth County, Minnesota","1,586"
"Brown County, Minnesota",860
"Carlton County, Minnesota",484
"Carver County, Minnesota","3,515"
"Cass County, Minnesota",340
"Chippewa County, Minnesota",611
"Chisago County, Minnesota",835
"Clay County, Minnesota","2,056"
"Clearwater County, Minnesota",120
"Cook County, Minnesota",58
"Cottonwood County, Minnesota",720
"Crow Wing County, Minnesota",652
"Dakota County, Minnesota","23,966"
"Dodge County, Minnesota",915
"Douglas County, Minnesota",341
"Faribault County, Minnesota",817
"Fillmore County, Minnesota",207
"Freeborn County, Minnesota","2,750"
"Goodhue County, Minnesota","1,342"
"Grant County, Minnesota",94
"Hennepin County, Minnesota","77,676"
"Houston County, Minnesota",132
"Hubbard County, Minnesota",327
"Isanti County, Minnesota",582
"Itasca County, Minnesota",417
"Jackson County, Minnesota",277
"Kanabec County, Minnesota",214
"Kandiyohi County, Minnesota","4,710"
"Kittson County, Minnesota",69
"Koochiching County, Minnesota",147
"Lac qui Parle County, Minnesota",108
"Lake County, Minnesota",80
"Lake of the Woods County, Minnesota",35
"Le Sueur County, Minnesota","1,444"
"Lincoln County, Minnesota",72
"Lyon County, Minnesota","1,541"
"McLeod County, Minnesota","1,811"
"Mahnomen County, Minnesota",99
"Marshall County, Minnesota",337
"Martin County, Minnesota",744
"Meeker County, Minnesota",767
"Mille Lacs County, Minnesota",377
"Morrison County, Minnesota",402
"Mower County, Minnesota","4,138"
"Murray County, Minnesota",242
"Nicollet County, Minnesota","1,226"
"Nobles County, Minnesota","4,820"
"Norman County, Minnesota",276
"Olmsted County, Minnesota","6,081"
"Otter Tail County, Minnesota","1,490"
"Pennington County, Minnesota",380
"Pine County, Minnesota",723
"Pipestone County, Minnesota",355
"Polk County, Minnesota","1,720"
"Pope County, Minnesota",95
"Ramsey County, Minnesota","36,483"
"Red Lake County, Minnesota",101
"Redwood County, Minnesota",335
"Renville County, Minnesota","1,046"
"Rice County, Minnesota","5,122"
"Rock County, Minnesota",197
"Roseau County, Minnesota",116
"St. Louis County, Minnesota","2,409"
"Scott County, Minnesota","5,771"
"Sherburne County, Minnesota","1,941"
"Sibley County, Minnesota","1,098"
"Stearns County, Minnesota","4,190"
"Steele County, Minnesota","2,282"
"Stevens County, Minnesota",337
"Swift County, Minnesota",350
"Todd County, Minnesota","1,288"
"Traverse County, Minnesota",50
"Wabasha County, Minnesota",592
"Wadena County, Minnesota",176
"Waseca County, Minnesota",985
"Washington County, Minnesota","8,127"
"Watonwan County, Minnesota","2,338"
"Wilkin County, Minnesota",130
"Winona County, Minnesota","1,244"
"Wright County, Minnesota","3,052"
"Yellow Medicine County, Minnesota",397
"Adams County, Mississippi","2,150"
"Alcorn County, Mississippi","1,010"
"Amite County, Mississippi",110
"Attala County, Mississippi",323
"Benton County, Mississippi",148
"Bolivar County, Mississippi",639
"Calhoun County, Mississippi",805
"Carroll County, Mississippi",106
"Chickasaw County, Mississippi",643
"Choctaw County, Mississippi",76
"Claiborne County, Mississippi",74
"Clarke County, Mississippi",132
"Clay County, Mississippi",199
"Coahoma County, Mississippi",293
"Copiah County, Mississippi",773
"Covington County, Mississippi",369
"DeSoto County, Mississippi","8,086"
"Forrest County, Mississippi","2,637"
"Franklin County, Mississippi",47
"George County, Mississippi",453
"Greene County, Mississippi",133
"Grenada County, Mississippi",197
"Hancock County, Mississippi","1,446"
"Harrison County, Mississippi","9,937"
"Hinds County, Mississippi","3,630"
"Holmes County, Mississippi",134
"Humphreys County, Mississippi",202
"Issaquena County, Mississippi",8
"Itawamba County, Mississippi",300
"Jackson County, Mississippi","6,378"
"Jasper County, Mississippi",136
"Jefferson County, Mississippi",28
"Jefferson Davis County, Mississippi",101
"Jones County, Mississippi","3,199"
"Kemper County, Mississippi",52
"Lafayette County, Mississippi","1,073"
"Lamar County, Mississippi","1,205"
"Lauderdale County, Mississippi","1,448"
"Lawrence County, Mississippi",274
"Leake County, Mississippi","1,020"
"Lee County, Mississippi","1,991"
"Leflore County, Mississippi",743
"Lincoln County, Mississippi",330
"Lowndes County, Mississippi",914
"Madison County, Mississippi","2,806"
"Marion County, Mississippi",336
"Marshall County, Mississippi","1,192"
"Monroe County, Mississippi",355
"Montgomery County, Mississippi",97
"Neshoba County, Mississippi",469
"Newton County, Mississippi",287
"Noxubee County, Mississippi",92
"Oktibbeha County, Mississippi",683
"Panola County, Mississippi",494
"Pearl River County, Mississippi","1,636"
"Perry County, Mississippi",119
"Pike County, Mississippi",489
"Pontotoc County, Mississippi","1,849"
"Prentiss County, Mississippi",307
"Quitman County, Mississippi",55
"Rankin County, Mississippi","3,795"
"Scott County, Mississippi","3,013"
"Sharkey County, Mississippi",39
"Simpson County, Mississippi",387
"Smith County, Mississippi",198
"Stone County, Mississippi",239
"Sunflower County, Mississippi",404
"Tallahatchie County, Mississippi",866
"Tate County, Mississippi",639
"Tippah County, Mississippi",985
"Tishomingo County, Mississippi",553
"Tunica County, Mississippi",245
"Union County, Mississippi","1,210"
"Walthall County, Mississippi",238
"Warren County, Mississippi",896
"Washington County, Mississippi",529
"Wayne County, Mississippi",246
"Webster County, Mississippi",104
"Wilkinson County, Mississippi",41
"Winston County, Mississippi",184
"Yalobusha County, Mississippi",151
"Yazoo County, Mississippi","1,301"
"Adair County, Missouri",523
"Andrew County, Missouri",290
"Atchison County, Missouri",55
"Audrain County, Missouri",665
"Barry County, Missouri","2,745"
"Barton County, Missouri",231
"Bates County, Missouri",275
"Benton County, Missouri",291
"Bollinger County, Missouri",98
"Boone County, Missouri","4,895"
"Buchanan County, Missouri","4,674"
"Butler County, Missouri",666
"Caldwell County, Missouri",143
"Callaway County, Missouri",707
"Camden County, Missouri","1,014"
"Cape Girardeau County, Missouri","1,476"
"Carroll County, Missouri",118
"Carter County, Missouri",104
"Cass County, Missouri","3,988"
"Cedar County, Missouri",204
"Chariton County, Missouri",40
"Christian County, Missouri","1,898"
"Clark County, Missouri",42
"Clay County, Missouri","13,101"
"Clinton County, Missouri",322
"Cole County, Missouri","1,795"
"Cooper County, Missouri",232
"Crawford County, Missouri",365
"Dade County, Missouri",121
"Dallas County, Missouri",260
"Daviess County, Missouri",87
"DeKalb County, Missouri",219
"Dent County, Missouri",148
"Douglas County, Missouri",110
"Dunklin County, Missouri","1,727"
"Franklin County, Missouri","1,397"
"Gasconade County, Missouri",152
"Gentry County, Missouri",36
"Greene County, Missouri","8,207"
"Grundy County, Missouri",178
"Harrison County, Missouri",141
"Henry County, Missouri",369
"Hickory County, Missouri",91
"Holt County, Missouri",39
"Howard County, Missouri",122
"Howell County, Missouri",697
"Iron County, Missouri",133
"Jackson County, Missouri","56,434"
"Jasper County, Missouri","8,027"
"Jefferson County, Missouri","3,408"
"Johnson County, Missouri","1,611"
"Knox County, Missouri",34
"Laclede County, Missouri",719
"Lafayette County, Missouri",740
"Lawrence County, Missouri","2,444"
"Lewis County, Missouri",159
"Lincoln County, Missouri","1,032"
"Linn County, Missouri",193
"Livingston County, Missouri",181
"McDonald County, Missouri","2,587"
"Macon County, Missouri",150
"Madison County, Missouri",244
"Maries County, Missouri",75
"Marion County, Missouri",391
"Mercer County, Missouri",28
"Miller County, Missouri",343
"Mississippi County, Missouri",231
"Moniteau County, Missouri",586
"Monroe County, Missouri",85
"Montgomery County, Missouri",172
"Morgan County, Missouri",365
"New Madrid County, Missouri",214
"Newton County, Missouri","2,537"
"Nodaway County, Missouri",302
"Oregon County, Missouri",131
"Osage County, Missouri",84
"Ozark County, Missouri",128
"Pemiscot County, Missouri",341
"Perry County, Missouri",318
"Pettis County, Missouri","3,046"
"Phelps County, Missouri",923
"Pike County, Missouri",331
"Platte County, Missouri","4,424"
"Polk County, Missouri",615
"Pulaski County, Missouri","4,705"
"Putnam County, Missouri",36
"Ralls County, Missouri",98
"Randolph County, Missouri",413
"Ray County, Missouri",415
"Reynolds County, Missouri",64
"Ripley County, Missouri",142
"St. Charles County, Missouri","9,983"
"St. Clair County, Missouri",170
"Ste. Genevieve County, Missouri",149
"St. Francois County, Missouri",778
"St. Louis County, Missouri","25,024"
"Saline County, Missouri","1,925"
"Schuyler County, Missouri",29
"Scotland County, Missouri",33
"Scott County, Missouri",705
"Shannon County, Missouri",139
"Shelby County, Missouri",71
"Stoddard County, Missouri",356
"Stone County, Missouri",553
"Sullivan County, Missouri","1,248"
"Taney County, Missouri","2,494"
"Texas County, Missouri",425
"Vernon County, Missouri",336
"Warren County, Missouri",957
"Washington County, Missouri",255
"Wayne County, Missouri",140
"Webster County, Missouri",612
"Worth County, Missouri",23
"Wright County, Missouri",238
"St. Louis city, Missouri","11,130"
"Beaverhead County, Montana",338
"Big Horn County, Montana",510
"Blaine County, Montana",115
"Broadwater County, Montana",126
"Carbon County, Montana",188
"Carter County, Montana",8
"Cascade County, Montana","2,711"
"Chouteau County, Montana",94
"Custer County, Montana",263
"Daniels County, Montana",27
"Dawson County, Montana",178
"Deer Lodge County, Montana",271
"Fallon County, Montana",34
"Fergus County, Montana",171
"Flathead County, Montana","2,070"
"Gallatin County, Montana","2,470"
"Garfield County, Montana",3
"Glacier County, Montana",241
"Golden Valley County, Montana",31
"Granite County, Montana",44
"Hill County, Montana",373
"Jefferson County, Montana",224
"Judith Basin County, Montana",24
"Lake County, Montana",998
"Lewis and Clark County, Montana","1,582"
"Liberty County, Montana",8
"Lincoln County, Montana",462
"McCone County, Montana",13
"Madison County, Montana",186
"Meagher County, Montana",28
"Mineral County, Montana",80
"Missoula County, Montana","2,861"
"Musselshell County, Montana",118
"Park County, Montana",325
"Petroleum County, Montana",5
"Phillips County, Montana",81
"Pondera County, Montana",87
"Powder River County, Montana",24
"Powell County, Montana",117
"Prairie County, Montana",16
"Ravalli County, Montana","1,195"
"Richland County, Montana",297
"Roosevelt County, Montana",132
"Rosebud County, Montana",313
"Sanders County, Montana",233
"Sheridan County, Montana",51
"Silver Bow County, Montana","1,253"
"Stillwater County, Montana",214
"Sweet Grass County, Montana",51
"Teton County, Montana",76
"Toole County, Montana",129
"Treasure County, Montana",25
"Valley County, Montana",91
"Wheatland County, Montana",32
"Wibaux County, Montana",13
"Yellowstone County, Montana","6,955"
"Adams County, Nebraska","2,544"
"Antelope County, Nebraska",178
"Arthur County, Nebraska",19
"Banner County, Nebraska",26
"Blaine County, Nebraska",0
"Boone County, Nebraska",65
"Box Butte County, Nebraska","1,157"
"Boyd County, Nebraska",33
"Brown County, Nebraska",29
"Buffalo County, Nebraska","3,432"
"Burt County, Nebraska",126
"Butler County, Nebraska",195
"Cass County, Nebraska",608
"Cedar County, Nebraska",113
"Chase County, Nebraska",442
"Cherry County, Nebraska",95
"Cheyenne County, Nebraska",610
"Clay County, Nebraska",502
"Colfax County, Nebraska","4,315"
"Cuming County, Nebraska",754
"Custer County, Nebraska",216
"Dakota County, Nebraska","7,419"
"Dawes County, Nebraska",306
"Dawson County, Nebraska","7,746"
"Deuel County, Nebraska",75
"Dixon County, Nebraska",622
"Dodge County, Nebraska","3,689"
"Douglas County, Nebraska","57,804"
"Dundy County, Nebraska",117
"Fillmore County, Nebraska",178
"Franklin County, Nebraska",33
"Frontier County, Nebraska",35
"Furnas County, Nebraska",132
"Gage County, Nebraska",385
"Garden County, Nebraska",80
"Garfield County, Nebraska",15
"Gosper County, Nebraska",49
"Grant County, Nebraska",7
"Greeley County, Nebraska",51
"Hall County, Nebraska","13,653"
"Hamilton County, Nebraska",181
"Harlan County, Nebraska",45
"Hayes County, Nebraska",33
"Hitchcock County, Nebraska",42
"Holt County, Nebraska",305
"Hooker County, Nebraska",8
"Howard County, Nebraska",109
"Jefferson County, Nebraska",200
"Johnson County, Nebraska",435
"Kearney County, Nebraska",244
"Keith County, Nebraska",474
"Keya Paha County, Nebraska",4
"Kimball County, Nebraska",244
"Knox County, Nebraska",155
"Lancaster County, Nebraska","16,685"
"Lincoln County, Nebraska","2,602"
"Logan County, Nebraska",13
"Loup County, Nebraska",13
"McPherson County, Nebraska",2
"Madison County, Nebraska","4,504"
"Merrick County, Nebraska",271
"Morrill County, Nebraska",687
"Nance County, Nebraska",65
"Nemaha County, Nebraska",133
"Nuckolls County, Nebraska",97
"Otoe County, Nebraska",902
"Pawnee County, Nebraska",35
"Perkins County, Nebraska",95
"Phelps County, Nebraska",373
"Pierce County, Nebraska",93
"Platte County, Nebraska","4,452"
"Polk County, Nebraska",156
"Red Willow County, Nebraska",462
"Richardson County, Nebraska",112
"Rock County, Nebraska",2
"Saline County, Nebraska","2,870"
"Sarpy County, Nebraska","11,569"
"Saunders County, Nebraska",415
"Scotts Bluff County, Nebraska","7,785"
"Seward County, Nebraska",272
"Sheridan County, Nebraska",171
"Sherman County, Nebraska",31
"Sioux County, Nebraska",52
"Stanton County, Nebraska",281
"Thayer County, Nebraska",76
"Thomas County, Nebraska",12
"Thurston County, Nebraska",190
"Valley County, Nebraska",79
"Washington County, Nebraska",419
"Wayne County, Nebraska",401
"Webster County, Nebraska",133
"Wheeler County, Nebraska",6
"York County, Nebraska",555
"Churchill County, Nevada","3,009"
"Clark County, Nevada","568,644"
"Douglas County, Nevada","5,103"
"Elko County, Nevada","11,158"
"Esmeralda County, Nevada",120
"Eureka County, Nevada",238
"Humboldt County, Nevada","4,038"
"Lander County, Nevada","1,219"
"Lincoln County, Nevada",332
"Lyon County, Nevada","7,674"
"Mineral County, Nevada",436
"Nye County, Nevada","5,967"
"Pershing County, Nevada","1,508"
"Storey County, Nevada",228
"Washoe County, Nevada","93,724"
"White Pine County, Nevada","1,326"
"Carson City, Nevada","11,777"
"Belknap County, New Hampshire",724
"Carroll County, New Hampshire",473
"Cheshire County, New Hampshire","1,090"
"Coos County, New Hampshire",401
"Grafton County, New Hampshire","1,600"
"Hillsborough County, New Hampshire","21,241"
"Merrimack County, New Hampshire","2,339"
"Rockingham County, New Hampshire","6,142"
"Strafford County, New Hampshire","2,201"
"Sullivan County, New Hampshire",493
"Atlantic County, New Jersey","46,241"
"Bergen County, New Jersey","145,281"
"Burlington County, New Jersey","28,831"
"Camden County, New Jersey","73,124"
"Cape May County, New Jersey","6,054"
"Cumberland County, New Jersey","42,457"
"Essex County, New Jersey","159,117"
"Gloucester County, New Jersey","13,712"
"Hudson County, New Jersey","267,853"
