,wid,links,county,city,state,population,watertype
16583,WI2650113,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI2650113&state=WI&source=Ground%20water&population=8128&sys_num=0,WALWORTH,DELAVAN,WI,8128,Ground water
36560,MI0002350,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0002350&state=MI&source=Ground%20water&population=385&sys_num=0,DELTA,NOT REPORTED,MI,385,Ground water
15495,LA1111002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1111002&state=LA&source=Ground%20water&population=237&sys_num=0,UNION PARISH,NOT REPORTED,LA,237,Ground water
38036,HI0000139,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=HI0000139&state=HI&source=Ground%20water&population=265&sys_num=0,NOT REPORTED,NIULII,HI,265,Ground water
47409,MD0020214,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0020214&state=MD&source=Ground%20water&population=810&sys_num=0,ANNE ARUNDEL,NOT REPORTED,MD,810,Ground water
200,WA5331040,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5331040&state=WA&source=Ground%20water&population=235&sys_num=0,ISLAND,NOT REPORTED,WA,235,Ground water
7567,NM3517532,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NM3517532&state=NM&source=Ground%20water&population=25&sys_num=0,VALENCIA,BOSQUE FARMS,NM,25,Ground water
35764,NY0301672,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0301672&state=NY&source=Surface%20water%20purchased&population=1785&sys_num=0,BROOME,PORT DICKINSON (V),NY,1785,Surface water purchased
8601,NE3101302,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NE3101302&state=NE&source=Ground%20water&population=8500&sys_num=0,BOX BUTTE,ALLIANCE,NE,8500,Ground water
44194,CT0400051,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0400051&state=CT&source=Ground%20water&population=208&sys_num=0,HARTFORD,EAST GRANBY,CT,208,Ground water
5955,MT0000339,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0000339&state=MT&source=Ground%20water&population=923&sys_num=0,MINERAL,SUPERIOR,MT,923,Ground water
40139,CA0900670,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA0900670&state=CA&source=Ground%20water&population=25&sys_num=0,EL DORADO,NOT REPORTED,CA,25,Ground water
33927,NY0921233,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0921233&state=NY&source=Ground%20water&population=40&sys_num=0,CLINTON,PERU (T),NY,40,Ground water
47681,MD0170013,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0170013&state=MD&source=Ground%20water&population=75&sys_num=0,QUEEN ANNE'S,NOT REPORTED,MD,75,Ground water
32218,PA5260043,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA5260043&state=PA&source=Ground%20water&population=250&sys_num=0,FAYETTE,NOT REPORTED,PA,250,Ground water
34801,NY3517527,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3517527&state=NY&source=Ground%20water&population=1550&sys_num=0,ORANGE,OTISVILLE (V),NY,1550,Ground water
