,wid,links,county,city,state,population,watertype,activity
0,DC0000004,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DC0000004&state=DC&source=Surface%20water%20purchased&population=4060&sys_num=0,DISTRICT OF COLUMBIA,NOT REPORTED,DC,4060,Surface water purchased,Active
1,DC0000007,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DC0000007&state=DC&source=Surface%20water%20purchased&population=12499&sys_num=0,DISTRICT OF COLUMBIA,NOT REPORTED,DC,12499,Surface water purchased,Active
2,DC0000002,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DC0000002&state=DC&source=Surface%20water%20purchased&population=632323&sys_num=0,DISTRICT OF COLUMBIA,NOT REPORTED,DC,632323,Surface water purchased,Active
3,DC0000003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DC0000003&state=DC&source=Surface%20water%20purchased&population=15690&sys_num=0,DISTRICT OF COLUMBIA,NOT REPORTED,DC,15690,Surface water purchased,Active
4,DC0000001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DC0000001&state=DC&source=Surface%20water&population=0&sys_num=0,DISTRICT OF COLUMBIA,NOT REPORTED,DC,0,Surface water,Active
