,wid,links,county,city,state,population,watertype
31017,PA3060048,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA3060048&state=PA&source=Ground%20water&population=98&sys_num=0,BERKS,NOT REPORTED,PA,98,Ground water
19247,IN5276033,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5276033&state=IN&source=Ground%20water&population=48&sys_num=0,STEUBEN,ANGOLA,IN,48,Ground water
45820,NH0803030,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NH0803030&state=NH&source=Ground%20water&population=380&sys_num=0,ROCKINGHAM,EXETER,NH,380,Ground water
19668,IN5283009,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IN5283009&state=IN&source=Ground%20water&population=500&sys_num=0,VERMILLION,PERRYSVILLE,IN,500,Ground water
44600,NJ1517001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ1517001&state=NJ&source=Ground%20water&population=25295&sys_num=0,OCEAN,LONG BEACH TWP.-1517,NJ,25295,Ground water
21117,OH5600711,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OH5600711&state=OH&source=Surface%20water&population=2598&sys_num=0,MONROE,NOT REPORTED,OH,2598,Surface water
2061,WA5390200,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5390200&state=WA&source=Ground%20water&population=1000&sys_num=0,SKAMANIA,NOT REPORTED,WA,1000,Ground water
6647,CO0115288,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CO0115288&state=CO&source=Surface%20water&population=335&sys_num=0,MONTROSE,NOT REPORTED,CO,335,Surface water
29410,VA2023400,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA2023400&state=VA&source=Ground%20water&population=100&sys_num=0,BOTETOURT,NOT REPORTED,VA,100,Ground water
17045,WI7640114,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI7640114&state=WI&source=Ground%20water&population=550&sys_num=0,VILAS,PHELPS,WI,550,Ground water
6011,MT0000437,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MT0000437&state=MT&source=Ground%20water&population=890&sys_num=0,MISSOULA,MISSOULA,MT,890,Ground water
15273,AR0000205,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AR0000205&state=AR&source=Ground%20water&population=389&sys_num=0,FULTON,NOT REPORTED,AR,389,Ground water
43954,CT0248011,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0248011&state=CT&source=Ground%20water&population=69&sys_num=0,WINDHAM,CHAPLIN,CT,69,Ground water
4981,ID6210029,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID6210029&state=ID&source=Ground%20water&population=58&sys_num=0,FRANKLIN,NOT REPORTED,ID,58,Ground water
17688,IL1995250,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL1995250&state=IL&source=Surface%20water%20purchased&population=3900&sys_num=0,WILLIAMSON,NOT REPORTED,IL,3900,Surface water purchased
39542,CA0400078,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA0400078&state=CA&source=Ground%20water&population=41&sys_num=0,BUTTE,NOT REPORTED,CA,41,Ground water
10944,OK3006008,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK3006008&state=OK&source=Surface%20water%20purchased&population=100&sys_num=0,PAYNE,NOT REPORTED,OK,100,Surface water purchased
31785,PA7360068,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA7360068&state=PA&source=Ground%20water&population=69&sys_num=0,LANCASTER,NOT REPORTED,PA,69,Ground water
37974,HI0000403,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=HI0000403&state=HI&source=Ground%20water&population=450&sys_num=0,NOT REPORTED,HANALEI (DOW),HI,450,Ground water
