,wid,links,county,city,state,population,watertype
15418,LA1019084,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1019084&state=LA&source=Ground%20water&population=4500&sys_num=0,CALCASIEU PARISH,NOT REPORTED,LA,4500,Ground water
29884,VA2109265,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA2109265&state=VA&source=Ground%20water&population=50&sys_num=0,LOUISA,NOT REPORTED,VA,50,Ground water
33003,NY1310666,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY1310666&state=NY&source=Ground%20water&population=36&sys_num=0,DUTCHESS,LAGRANGE (T),NY,36,Ground water
14748,AR0000789,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AR0000789&state=AR&source=Surface%20water%20purchased&population=864&sys_num=0,PERRY,NOT REPORTED,AR,864,Surface water purchased
4793,ID5130001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID5130001&state=ID&source=Ground%20water&population=416&sys_num=0,CAMAS,NOT REPORTED,ID,416,Ground water
45053,RI1858419,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=RI1858419&state=RI&source=Surface%20water&population=3178&sys_num=0,NEWPORT,JAMESTOWN,RI,3178,Surface water
23031,MS0260027,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0260027&state=MS&source=Ground%20water&population=1260&sys_num=0,HOLMES,NOT REPORTED,MS,1260,Ground water
47588,MD0110007,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0110007&state=MD&source=Ground%20water&population=3000&sys_num=0,GARRETT,NOT REPORTED,MD,3000,Ground water
16575,WI1130221,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI1130221&state=WI&source=Ground%20water&population=9400&sys_num=0,DANE,DEFOREST,WI,9400,Ground water
1404,WA5323191,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5323191&state=WA&source=Ground%20water&population=53&sys_num=0,ISLAND,NOT REPORTED,WA,53,Ground water
7641,NM3524832,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NM3524832&state=NM&source=Ground%20water&population=4805&sys_num=0,VALENCIA,BELEN,NM,4805,Ground water
13443,MO1010161,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO1010161&state=MO&source=Ground%20water%20purchased&population=465&sys_num=0,JOHNSON,HOLDEN,MO,465,Ground water purchased
21114,OH4103003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OH4103003&state=OH&source=Surface%20water%20purchased&population=3924&sys_num=0,JEFFERSON,NOT REPORTED,OH,3924,Surface water purchased
5309,ID2310007,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID2310007&state=ID&source=Ground%20water&population=400&sys_num=0,LEWIS,NOT REPORTED,ID,400,Ground water
33700,NY0310340,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0310340&state=NY&source=Ground%20water&population=60&sys_num=0,BROOME,MAINE (T),NY,60,Ground water
31231,PA6530010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6530010&state=PA&source=Surface%20water&population=1370&sys_num=0,POTTER,NOT REPORTED,PA,1370,Surface water
