,wid,links,county,city,state,population,watertype
47035,DE0000260,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DE0000260&state=DE&source=Ground%20water&population=72&sys_num=0,SUSSEX,GEORGETOWN,DE,72,Ground water
14467,MO5031437,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO5031437&state=MO&source=Ground%20water&population=300&sys_num=0,TANEY,NOT REPORTED,MO,300,Ground water
44976,RI1858429,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=RI1858429&state=RI&source=Ground%20water%20purchased&population=4397&sys_num=0,WASHINGTON,NARRAGANSETT,RI,4397,Ground water purchased
29623,VA2015450,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=VA2015450&state=VA&source=Groundwater%20under%20influence%20of%20surface%20water&population=93&sys_num=0,AUGUSTA,NOT REPORTED,VA,93,Groundwater under influence of surface water
35634,NY0400346,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0400346&state=NY&source=Groundwater%20under%20influence%20of%20surface%20water&population=24&sys_num=0,CATTARAUGUS,OTTO (T),NY,24,Groundwater under influence of surface water
15933,LA1077047,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1077047&state=LA&source=Ground%20water&population=2401&sys_num=0,POINTE COUPEE PARISH,NOT REPORTED,LA,2401,Ground water
25797,GA2750020,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA2750020&state=GA&source=Ground%20water&population=86&sys_num=0,THOMAS,THOMASVILLE,GA,86,Ground water
6194,WY5600109,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WY5600109&state=WY&source=Ground%20water&population=45&sys_num=0,NIOBRARA,LANCE CREEK,WY,45,Ground water
15965,LA1015030,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=LA1015030&state=LA&source=Ground%20water&population=45&sys_num=0,BOSSIER PARISH,NOT REPORTED,LA,45,Ground water
10259,OK3001602,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK3001602&state=OK&source=Surface%20water%20purchased&population=2800&sys_num=0,COMANCHE,NOT REPORTED,OK,2800,Surface water purchased
30974,PA6250070,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA6250070&state=PA&source=Surface%20water%20purchased&population=110&sys_num=0,ERIE,NOT REPORTED,PA,110,Surface water purchased
4510,UTAH02069,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=UTAH02069&state=UT&source=Ground%20water&population=44&sys_num=0,BOX ELDER,NOT REPORTED,UT,44,Ground water
16816,WI8550131,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WI8550131&state=WI&source=Ground%20water&population=3618&sys_num=0,RUSK,LADYSMITH,WI,3618,Ground water
22248,MS0040001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MS0040001&state=MS&source=Ground%20water&population=1548&sys_num=0,ATTALA,NOT REPORTED,MS,1548,Ground water
15024,AR0000770,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AR0000770&state=AR&source=Surface%20water&population=4&sys_num=0,MARION,NOT REPORTED,AR,4,Surface water
28613,NC0368152,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0368152&state=NC&source=Ground%20water&population=88&sys_num=0,ORANGE,CHAPEL HILL,NC,88,Ground water
