wid,state,county,population,watertype,health,reporting,length,analytics,lead,e_coli,coliform,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,unknown/old
AZ0407903,AZ,MARICOPA,95,Ground water,0,7,81.42857143,0,0,0,1,0,0,2,0,0,2,1,2,0,0,0,0
AZ0408001,AZ,MOHAVE,536,Ground water,0,11,77.14285714,0,4,0,6,4,0,1,0,0,1,0,1,1,2,0,1
AZ0408003,AZ,MOHAVE,2423,Ground water,1,279,920.1507353,0,8,0,10,2,3,6,15,95,6,4,1,2,4,0,142
AZ0408006,AZ,MOHAVE,400,Ground water,0,15,126,0,4,0,7,2,1,4,0,0,0,0,0,3,3,0,2
AZ0408008,AZ,MOHAVE,5500,Surface water,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AZ0408014,AZ,MOHAVE,150,Ground water,0,8,94.42857143,0,1,0,4,1,0,1,1,0,1,2,0,1,1,0,0
AZ0408015,AZ,MOHAVE,4068,Ground water,0,5,187.2,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0
AZ0408017,AZ,MOHAVE,2000,Ground water,6,13,141.2,0,4,0,10,4,1,1,1,0,2,3,3,1,2,0,1
AZ0408018,AZ,MOHAVE,80,Ground water,0,49,155.0208333,0,1,0,3,5,6,7,6,6,5,6,4,3,1,0,0
AZ0408020,AZ,MOHAVE,45000,Ground water,5,58,522.7777778,18.2,0,0,10,24,12,8,1,1,3,1,2,1,0,0,10
AZ0408021,AZ,MOHAVE,1770,Ground water,5,53,115.3035714,0,2,0,22,7,12,4,9,2,5,7,3,4,3,0,2
AZ0408022,AZ,MOHAVE,54610,Groundwater under influence of surface water,0,45,900.1333333,0,0,0,0,1,1,36,0,0,2,2,2,1,0,0,0
AZ0408024,AZ,MOHAVE,1516,Ground water,5,28,336.1481481,0,6,0,14,7,4,2,2,1,2,1,2,3,2,0,7
AZ0408026,AZ,MOHAVE,383,Ground water,1,3,29.66666667,0,1,0,3,1,1,0,0,0,0,0,0,0,1,0,1
AZ0408032,AZ,MOHAVE,36330,Ground water,0,114,575.4424779,0,1,0,1,58,22,22,4,2,0,0,0,0,0,0,6
AZ0408035,AZ,MOHAVE,2126,Ground water,21,97,291.4869565,0.01305,3,0,19,5,9,13,12,18,17,17,4,8,8,0,7
AZ0408037,AZ,MOHAVE,193,Ground water,0,2,60.5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
AZ0408038,AZ,MOHAVE,5888,Ground water,0,13,696.6153846,0,0,0,1,2,0,1,3,0,0,0,1,0,1,0,5
AZ0408039,AZ,MOHAVE,61,Ground water,0,19,35.3,0,9,0,9,2,3,1,2,2,1,0,2,2,2,0,2
AZ0408040,AZ,MOHAVE,3847,Ground water,3,15,124.2352941,0.084,1,0,4,9,2,0,0,2,1,1,2,0,0,0,1
AZ0408041,AZ,MOHAVE,500,Ground water,3,7,29.57142857,0,2,1,7,0,4,2,1,1,0,0,0,0,1,0,1
AZ0408042,AZ,MOHAVE,250,Ground water,7,79,104.1851852,0,5,0,40,8,4,5,22,12,8,5,7,8,4,0,3
AZ0408046,AZ,MOHAVE,90,Ground water,7,48,98.86792453,0.011666667,2,0,24,6,3,6,3,12,5,4,4,6,5,0,1
AZ0408057,AZ,MOHAVE,145,Ground water,0,56,65.14285714,0,0,0,50,3,7,8,7,5,6,3,5,4,8,0,0
AZ0408059,AZ,MOHAVE,1812,Ground water,5,102,256.9719626,0,0,0,18,11,10,32,25,1,21,1,0,1,0,0,5
AZ0408063,AZ,MOHAVE,18000,Ground water,0,518,1041.447876,0,0,0,4,2,204,3,1,10,6,7,2,1,0,0,282
AZ0408064,AZ,MOHAVE,280,Ground water,0,20,70,0,5,0,5,0,1,4,4,4,1,2,1,1,1,0,1
AZ0408066,AZ,MOHAVE,172,Ground water,0,47,148.4318182,0,3,0,3,5,6,6,6,4,6,4,4,4,1,0,1
AZ0408068,AZ,MOHAVE,4886,Ground water,4,9,57.09090909,0,2,0,6,0,0,0,2,4,6,0,0,0,0,0,1
AZ0408072,AZ,MOHAVE,244,Ground water,1,10,573.625,0,3,0,4,0,2,1,1,0,1,0,0,1,1,0,4
AZ0408078,AZ,MOHAVE,625,Ground water,0,42,582.4634146,0,1,0,6,21,0,0,1,0,0,0,0,0,5,0,15
AZ0408080,AZ,MOHAVE,136,Ground water,8,36,43.95652174,0,13,8,22,2,1,1,0,1,2,1,9,19,4,0,4
AZ0408081,AZ,MOHAVE,3950,Ground water,4,21,148.6521739,0.015,2,0,5,4,4,6,1,2,2,3,0,0,3,0,0
AZ0408082,AZ,MOHAVE,135,Ground water,48,65,111.4414414,16.07339583,2,0,2,5,3,1,3,3,23,31,14,20,9,0,1
AZ0408089,AZ,MOHAVE,124,Ground water,0,4,364,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1
AZ0408090,AZ,MOHAVE,1300,Ground water,9,34,75.80555556,0,5,2,31,6,6,8,2,7,2,1,6,3,0,0,2
AZ0408093,AZ,MOHAVE,190,Ground water,0,7,29.2,0,2,0,5,0,0,2,0,1,0,2,0,0,1,0,1
AZ0408122,AZ,MOHAVE,560,Ground water purchased,0,4,60,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,1
AZ0408127,AZ,MOHAVE,75,Ground water,0,65,178.7692308,0,0,0,9,3,27,5,4,4,6,5,6,3,2,0,0
AZ0408129,AZ,MOHAVE,364,Ground water,1,11,125.6666667,0,0,0,2,5,0,5,0,0,0,0,2,0,0,0,0
AZ0408133,AZ,MOHAVE,1500,Ground water purchased,2,23,67.14285714,0,4,0,8,2,0,1,2,5,5,3,0,3,1,0,3
AZ0408137,AZ,MOHAVE,2740,Ground water,0,4,273,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0
AZ0408138,AZ,MOHAVE,425,Ground water,0,10,76.85714286,0,3,0,6,1,1,1,0,0,0,2,1,0,2,0,2
AZ0408142,AZ,MOHAVE,100,Ground water,0,47,881.8666667,0,2,0,9,3,3,37,0,0,0,1,0,0,2,0,1
AZ0408149,AZ,MOHAVE,46,Ground water,4,25,71.33333333,0.011,4,1,12,0,8,2,2,4,5,3,0,3,2,0,0
AZ0408150,AZ,MOHAVE,280,Ground water,1,40,131.7777778,0,5,0,7,6,4,0,4,4,4,8,4,3,3,0,1
AZ0408154,AZ,MOHAVE,2200,Ground water,3,23,553.0869565,0,3,0,11,1,0,5,0,0,2,0,0,4,3,0,11
AZ0408173,AZ,MOHAVE,149,Ground water,0,9,29.5,0,3,0,6,1,1,1,1,1,1,1,0,0,2,0,0
AZ0408174,AZ,MOHAVE,415,Ground water purchased,2,225,94.49557522,0.011,1,0,7,0,1,7,2,46,93,71,4,3,0,0,0
AZ0408175,AZ,MOHAVE,32,Ground water,10,13,61.31818182,0.012333333,1,0,15,0,2,4,8,3,1,3,1,1,0,0,0
AZ0408178,AZ,MOHAVE,84,Ground water,3,11,57.25,0,2,0,11,0,0,2,5,2,2,0,2,0,1,0,0
AZ0408184,AZ,MOHAVE,3500,Ground water,0,12,90.27272727,0,1,0,9,0,0,0,0,0,5,0,3,2,2,0,0
AZ0408307,AZ,MOHAVE,29,Ground water,7,76,164.8148148,0,2,0,36,16,14,20,4,5,5,3,4,4,3,0,5
AZ0408333,AZ,MOHAVE,59,Ground water purchased,0,4,211.5,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0
AZ0408341,AZ,MOHAVE,648,Ground water,0,16,29.5,0,2,0,14,0,3,1,1,4,4,1,0,0,1,0,1
AZ0408342,AZ,MOHAVE,39,Ground water,0,9,96.2,0,3,1,4,1,0,1,0,1,0,0,3,2,0,0,1
AZ0408701,AZ,MOHAVE,1300,Surface water,2,349,282.7606838,0.095,0,0,2,40,28,53,22,44,44,65,43,0,5,0,7
AZ0408703,AZ,MOHAVE,1545,Ground water,0,120,936.5338983,0,2,0,1,7,7,3,0,0,1,3,1,1,3,0,94
AZ0408704,AZ,MOHAVE,250,Ground water,0,43,419.372093,0,0,0,0,1,1,3,1,7,1,1,23,2,3,0,0
AZ0409000,AZ,NAVAJO,60,Ground water,2,5,29.5,0,3,0,4,0,0,0,0,0,1,0,1,0,2,0,3
AZ0409001,AZ,NAVAJO,287,Ground water,0,7,29.33333333,0,4,0,3,1,0,0,0,0,0,0,1,1,1,0,3
AZ0409003,AZ,NAVAJO,10882,Ground water,0,53,476.9433962,0,0,0,1,2,23,21,7,0,0,0,0,0,0,0,0
AZ0409004,AZ,NAVAJO,10426,Ground water,0,4,128.5,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0
AZ0409005,AZ,NAVAJO,333,Ground water,0,25,62.41666667,0,0,1,11,5,3,2,1,2,0,2,3,4,3,0,0
AZ0409009,AZ,NAVAJO,380,Ground water,0,34,82.38709677,0,3,0,4,2,3,2,1,4,4,4,4,5,3,0,2
AZ0409013,AZ,NAVAJO,300,Ground water,0,22,29.55555556,0,2,2,18,3,6,1,0,1,2,0,0,2,6,0,1
AZ0409014,AZ,NAVAJO,850,Ground water,0,45,156.0930233,0,2,0,12,11,7,5,0,3,5,1,1,4,7,0,1
AZ0409015,AZ,NAVAJO,5318,Ground water,1,4,29.75,0,1,0,4,0,0,2,0,0,0,0,0,1,1,0,1
AZ0409016,AZ,NAVAJO,1511,Ground water,0,63,165.8461538,0,11,0,3,8,7,8,6,5,7,7,4,5,3,0,3
AZ0409018,AZ,NAVAJO,3433,Ground water,0,4,44.75,0,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0
AZ0409021,AZ,NAVAJO,3200,Ground water,0,37,104.7222222,0,1,0,5,3,6,8,4,3,4,6,0,0,3,0,0
AZ0409023,AZ,NAVAJO,4830,Ground water,1,119,354.2982456,0,6,0,14,35,29,11,4,6,6,5,3,6,2,0,13
AZ0409024,AZ,NAVAJO,378,Ground water,0,28,75.55555556,0,1,0,11,3,1,0,1,1,2,5,4,6,5,0,0
AZ0409026,AZ,NAVAJO,15716,Ground water,1,95,456.4583333,0,0,0,3,49,7,5,1,3,3,2,3,10,5,0,8
AZ0409028,AZ,NAVAJO,168,Ground water,1,10,71.375,0,3,0,7,3,5,1,0,1,0,0,1,0,0,0,0
AZ0409029,AZ,NAVAJO,5590,Ground water,0,10,136.25,0,1,1,3,1,2,0,0,0,2,0,2,2,1,0,0
AZ0409030,AZ,NAVAJO,440,Ground water,1,8,29.4,0,4,0,5,2,1,1,0,1,0,0,0,0,1,0,3
AZ0409031,AZ,NAVAJO,3175,Ground water,0,21,68.85,0,1,0,7,3,3,3,2,2,0,1,6,0,1,0,0
AZ0409032,AZ,NAVAJO,97,Ground water,0,13,29.45454545,0,2,0,11,3,3,0,1,2,0,1,0,2,1,0,0
AZ0409034,AZ,NAVAJO,1500,Ground water,3,104,45.82352941,0,3,2,97,10,10,10,8,10,15,9,13,11,11,0,0
AZ0409035,AZ,NAVAJO,9655,Ground water,1,8,163,0,1,0,4,1,0,1,0,2,1,2,0,1,0,0,1
AZ0409036,AZ,NAVAJO,1223,Ground water,0,29,114.25,0,1,0,7,0,1,4,2,5,3,1,4,6,3,0,0
AZ0409039,AZ,NAVAJO,237,Ground water,0,3,30,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1
AZ0409041,AZ,NAVAJO,304,Ground water,0,11,29.5,0,7,0,4,0,0,0,1,0,1,1,0,0,3,0,5
AZ0409049,AZ,NAVAJO,660,Ground water,3,14,29.5625,0,0,1,16,2,1,0,1,1,3,0,0,4,5,0,0
AZ0409050,AZ,NAVAJO,138,Ground water,0,20,29.47058824,0,2,1,17,1,0,1,1,5,3,0,0,2,6,0,1
AZ0409060,AZ,NAVAJO,380,Ground water,1,63,134.2777778,0,10,0,6,6,9,8,6,6,7,5,5,6,4,0,2
AZ0409074,AZ,NAVAJO,64,Ground water,1,15,29.21428571,0,2,0,14,0,6,6,1,0,1,0,1,1,0,0,0
AZ0409075,AZ,NAVAJO,76,Ground water,3,14,29.53333333,0,1,1,15,3,4,1,1,0,3,2,0,1,1,0,1
AZ0409086,AZ,NAVAJO,180,Ground water,0,18,476.25,0,2,0,11,3,1,1,0,0,1,0,2,0,5,0,5
AZ0409090,AZ,NAVAJO,853,Ground water,0,46,110.0666667,0,1,0,3,1,5,5,21,3,5,2,4,0,0,0,0
AZ0409300,AZ,NAVAJO,350,Ground water,0,5,29,0,0,0,5,2,1,0,0,0,0,0,0,0,2,0,0
AZ0409305,AZ,NAVAJO,250,Ground water,1,23,104.6666667,0,9,0,10,2,6,3,3,1,1,1,5,0,0,0,2
AZ0409311,AZ,NAVAJO,260,Ground water,3,26,29.55555556,0,2,0,27,4,12,4,0,4,1,0,1,1,1,0,1
AZ0409316,AZ,NAVAJO,150,Ground water,3,31,41.32142857,0,3,3,27,1,3,0,2,5,0,2,7,6,7,0,1
AZ0409329,AZ,NAVAJO,415,Ground water,0,26,117.65,0,5,1,9,6,6,2,3,2,2,0,1,1,1,0,2
AZ0409330,AZ,NAVAJO,500,Ground water,0,32,159.3333333,0,2,0,8,6,4,2,2,3,4,4,2,2,3,0,0
AZ0410001,AZ,PIMA,1600,Ground water,0,10,272.8888889,0,1,0,0,3,3,2,0,0,0,0,1,0,0,0,1
AZ0410002,AZ,PIMA,150,Ground water,0,60,265.6440678,0,1,0,10,1,22,3,5,4,7,5,2,4,4,0,3
AZ0410003,AZ,PIMA,2100,Ground water purchased,0,3,70.33333333,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
AZ0410004,AZ,PIMA,20000,Ground water,0,136,616.162963,0,1,0,4,27,34,7,6,21,2,4,1,9,0,0,25
AZ0410006,AZ,PIMA,7650,Ground water,6,16,477.9545455,0.014666667,0,0,4,3,8,3,1,0,0,1,0,1,0,0,5
AZ0410007,AZ,PIMA,90,Ground water,0,20,62.6,0,9,1,9,1,2,0,0,3,1,1,8,1,1,0,2
AZ0410008,AZ,PIMA,81,Ground water,0,3,29.66666667,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
AZ0410035,AZ,PIMA,6314,Ground water,1,55,100.7777778,0,2,0,4,7,2,0,0,21,22,0,2,1,0,0,1
AZ0410041,AZ,PIMA,11694,Ground water,5,49,946.3396226,0,1,0,15,32,1,1,0,0,8,8,1,1,1,0,1
AZ0410046,AZ,PIMA,969,Ground water,0,17,516.4375,0,1,0,5,5,1,0,0,0,2,1,3,0,0,0,5
AZ0410047,AZ,PIMA,63,Ground water,0,17,44.5,0,1,0,12,0,1,3,0,3,0,1,1,7,0,0,1
AZ0410048,AZ,PIMA,243,Ground water,0,116,90.84821429,0,4,0,4,2,1,0,0,0,0,64,43,0,2,0,4
AZ0410049,AZ,PIMA,3505,Ground water,1,21,426.6,0,0,2,11,2,2,4,0,0,0,1,2,1,5,0,5
AZ0410051,AZ,PIMA,15500,Ground water,0,270,930.869403,0,2,0,4,3,8,8,9,1,0,2,21,0,0,0,218
AZ0410057,AZ,PIMA,240,Ground water,0,4,196.75,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0
AZ0410058,AZ,PIMA,102,Ground water,2,12,95.81818182,0,3,0,8,1,7,1,1,0,0,2,0,0,0,0,2
AZ0410060,AZ,PIMA,4768,Ground water,1,11,222.6666667,0,0,0,7,3,3,1,0,1,2,0,0,2,0,0,0
AZ0410063,AZ,PIMA,807,Ground water,0,14,106.5384615,0,1,0,1,2,2,2,4,4,0,0,0,0,0,0,0
AZ0410064,AZ,PIMA,3042,Ground water,0,109,2267.814815,0,1,0,11,0,4,2,7,5,2,3,1,1,9,0,75
AZ0410065,AZ,PIMA,335,Ground water,0,32,70.8,0,6,1,17,8,4,1,3,4,0,1,4,3,0,0,4
AZ0410070,AZ,PIMA,554,Ground water,0,41,226.2195122,0,0,0,3,5,6,6,4,1,4,5,4,3,0,0,3
AZ0410074,AZ,PIMA,300,Ground water,0,3,30,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0
AZ0410076,AZ,PIMA,43433,Ground water,0,77,781.4054054,0,3,0,3,61,4,0,0,0,2,2,1,0,0,0,7
AZ0410092,AZ,PIMA,4755,Ground water,0,39,380.2222222,0,3,0,4,5,24,1,0,3,0,0,0,0,1,0,5
AZ0410093,AZ,PIMA,1062,Ground water,3,15,86.88888889,0,0,0,10,4,2,2,1,6,1,0,1,0,1,0,0
AZ0410095,AZ,PIMA,4500,Ground water,0,30,1564.2,0,0,0,7,25,2,2,0,0,0,0,0,0,1,0,0
AZ0410098,AZ,PIMA,165,Ground water,0,8,41.2,0,3,0,4,1,2,1,0,0,0,0,0,2,1,0,1
AZ0410101,AZ,PIMA,150,Ground water,0,12,87.6,0,2,0,5,4,0,2,0,0,1,1,2,1,0,0,1
AZ0410112,AZ,PIMA,675686,Ground water,0,88,1177.360465,0,2,0,2,1,21,0,0,4,1,1,0,6,0,0,54
AZ0410117,AZ,PIMA,250,Ground water,0,4,29.5,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0
AZ0410118,AZ,PIMA,400,Ground water,9,166,86.32183908,0.103125,1,0,16,6,4,9,3,2,28,90,25,6,2,0,0
AZ0410119,AZ,PIMA,810,Ground water,0,6,80.5,0,0,0,1,0,1,1,0,0,1,0,1,2,0,0,0
AZ0410123,AZ,PIMA,120,Ground water,0,20,71.5625,0,4,0,5,1,0,1,2,0,2,4,5,2,0,0,3
AZ0410127,AZ,PIMA,1050,Ground water,0,9,29.16666667,0,3,0,6,0,0,0,2,0,0,0,1,2,1,0,3
AZ0410128,AZ,PIMA,2535,Ground water,0,18,416.9333333,0,3,0,5,0,1,0,0,8,2,0,0,0,1,0,6
AZ0410132,AZ,PIMA,60,Ground water,0,7,268.1666667,0,1,0,5,1,0,1,2,1,0,0,0,0,1,0,1
AZ0410136,AZ,PIMA,135,Ground water,0,13,99.84615385,0,0,0,7,4,5,1,0,3,0,0,0,0,0,0,0
AZ0410138,AZ,PIMA,815,Ground water,0,42,282.3095238,0,0,0,7,6,5,3,1,3,23,1,0,0,0,0,0
AZ0410139,AZ,PIMA,1385,Ground water,0,27,274.0740741,0,0,0,4,1,1,0,2,1,6,5,4,4,0,0,3
AZ0410140,AZ,PIMA,279,Ground water,0,55,560.6666667,0,4,0,2,0,25,2,4,3,7,5,4,4,1,0,0
AZ0410142,AZ,PIMA,1050,Ground water,23,84,1208.57732,0.013126087,10,0,18,2,5,8,13,17,4,2,3,8,5,0,40
AZ0410144,AZ,PIMA,170,Ground water,0,4,29,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,3
AZ0410150,AZ,PIMA,7300,Ground water,1,95,2515.425532,0,2,0,8,6,7,3,0,2,0,0,0,1,2,0,75
AZ0410152,AZ,PIMA,300,Ground water,0,34,118.96875,0,2,0,12,1,9,7,4,4,3,3,2,1,0,0,0
AZ0410153,AZ,PIMA,405,Ground water purchased,0,54,122.1363636,0,10,0,4,6,7,6,6,5,7,4,5,5,1,0,2
AZ0410157,AZ,PIMA,8793,Ground water,0,34,149.2121212,0,1,0,4,5,3,5,2,4,6,3,0,3,3,0,0
AZ0410158,AZ,PIMA,420,Ground water,0,2,364,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
AZ0410159,AZ,PIMA,616,Ground water,0,4,272.3333333,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0
AZ0410162,AZ,PIMA,235,Ground water,0,10,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
AZ0410164,AZ,PIMA,49398,Ground water,0,252,998.4880952,0,0,0,0,1,61,0,0,0,22,22,1,1,0,0,144
AZ0410169,AZ,PIMA,7616,Ground water,0,10,367.8888889,0,1,0,1,6,0,0,0,0,2,0,0,0,0,0,2
AZ0410171,AZ,PIMA,1053,Ground water,0,3,364,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
AZ0410173,AZ,PIMA,2803,Ground water,0,4,607.6666667,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
AZ0410175,AZ,PIMA,5117,Ground water,0,4,295.75,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
AZ0410177,AZ,PIMA,3094,Ground water,3,72,2350.27027,0,1,0,8,4,4,0,1,0,2,5,2,1,1,0,55
AZ0410178,AZ,PIMA,171,Ground water,1,16,29.54545455,0,6,0,11,4,3,0,0,4,0,0,0,0,3,0,3
AZ0410179,AZ,PIMA,160,Ground water,0,2,561,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
AZ0410187,AZ,PIMA,850,Ground water,0,145,826.8741259,0,2,0,11,67,2,7,43,3,2,5,4,4,2,0,6
AZ0410188,AZ,PIMA,150,Ground water,0,7,29.5,0,2,1,4,0,0,2,0,0,0,0,0,4,0,0,1
AZ0410199,AZ,PIMA,75,Ground water,1,26,29.44,0,2,0,25,5,2,6,3,3,3,1,0,1,2,0,1
AZ0410206,AZ,PIMA,210,Ground water,1,17,935.2352941,0,1,0,4,2,0,1,5,0,0,0,4,2,1,0,3
AZ0410208,AZ,PIMA,258,Ground water,1,16,106.6666667,0,2,0,5,1,1,11,3,0,0,0,0,0,0,0,1
AZ0410213,AZ,PIMA,3621,Ground water,1,12,62.33333333,0,0,1,10,6,2,0,0,0,0,1,1,0,3,0,0
AZ0410218,AZ,PIMA,93,Ground water,1,11,57.18181818,0.034,1,0,6,2,1,2,1,0,2,0,3,0,1,0,0
AZ0410219,AZ,PIMA,210,Ground water,0,151,179.1448276,0,6,0,0,1,2,0,0,1,3,25,66,44,2,0,7
AZ0410228,AZ,PIMA,415,Ground water,0,11,60.1,0,1,0,5,2,5,2,1,0,0,1,0,0,0,0,0
AZ0410242,AZ,PIMA,36,Ground water,0,5,29.2,0,0,0,5,0,3,0,0,0,0,0,1,1,0,0,0
AZ0410260,AZ,PIMA,30,Ground water,5,14,78.84615385,0.026,6,0,7,1,3,6,0,1,0,1,3,1,0,0,3
AZ0410262,AZ,PIMA,5003,Ground water,0,46,2783.488372,0,3,0,1,1,3,1,0,0,0,0,2,1,1,0,37
AZ0410264,AZ,PIMA,450,Ground water,0,7,29.75,0,3,0,4,2,0,1,0,0,0,1,1,0,1,0,1
AZ0410265,AZ,PIMA,200,Ground water,2,26,29.34782609,0,3,2,23,0,2,0,4,8,1,1,0,2,8,0,2
AZ0410269,AZ,PIMA,200,Ground water,0,12,29.1,0,2,0,10,0,2,0,5,1,0,0,0,1,1,0,2
AZ0410270,AZ,PIMA,70,Ground water,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AZ0410272,AZ,PIMA,102,Ground water,0,19,29.46666667,0,3,1,15,2,1,1,0,4,0,0,8,0,0,0,3
AZ0410278,AZ,PIMA,159,Ground water,0,7,60.16666667,0,1,0,3,0,0,2,0,0,3,0,0,1,0,0,1
AZ0410281,AZ,PIMA,104,Ground water,0,8,29.66666667,0,5,0,3,2,1,0,0,1,0,1,1,0,0,0,2
AZ0410282,AZ,PIMA,120,Ground water,0,8,30,0,5,0,3,1,2,0,0,0,0,0,0,1,0,0,4
AZ0410283,AZ,PIMA,201,Ground water,3,6,29.57142857,0,2,0,7,1,0,4,2,0,2,0,0,0,0,0,0
AZ0410286,AZ,PIMA,73,Ground water,0,9,29.6,0,4,0,5,0,3,0,0,1,1,0,1,0,0,0,3
AZ0410311,AZ,PIMA,60,Ground water,0,4,29,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,2
AZ0410312,AZ,PIMA,16200,Ground water,1,13,407.7857143,0,0,0,5,5,2,2,0,1,0,0,0,0,0,0,4
AZ0410317,AZ,PIMA,120,Ground water,2,12,39.66666667,0,1,1,10,0,1,6,0,2,1,1,1,0,1,0,1
AZ0410319,AZ,PIMA,114,Ground water,1,60,109.1896552,0,3,0,54,4,4,6,7,7,7,9,9,4,0,0,4
AZ0410329,AZ,PIMA,2690,Ground water,0,14,161.5833333,0,2,0,4,3,3,2,0,3,0,1,0,0,0,0,2
AZ0410350,AZ,PIMA,625,Ground water,3,113,1113.752212,0,3,0,35,7,8,8,8,12,9,9,9,7,2,0,37
AZ0410351,AZ,PIMA,153,Ground water,0,6,29,0,1,0,5,3,0,0,1,0,0,0,2,0,0,0,0
AZ0410354,AZ,PIMA,729,Ground water,0,10,181.6,0,0,0,3,0,0,4,0,2,3,0,0,1,0,0,0
AZ0410357,AZ,PIMA,3956,Ground water,1,41,382.3076923,0.013,3,0,11,3,3,8,6,14,2,0,3,0,1,0,2
AZ0410360,AZ,PIMA,42,Ground water,0,10,29.6,0,5,0,5,2,1,3,0,1,0,0,1,0,0,0,2
AZ0410400,AZ,PIMA,45,Ground water,0,42,209,0,1,0,19,30,8,0,0,1,0,0,0,2,1,0,0
AZ0410402,AZ,PIMA,30,Ground water,0,25,239.9090909,0,2,1,18,9,3,1,3,3,0,0,0,1,1,0,4
AZ0410404,AZ,PIMA,93,Ground water,0,23,96.04761905,0,2,0,7,4,7,6,1,0,0,1,3,0,0,0,1
AZ0410405,AZ,PIMA,87,Ground water,0,9,923.625,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,6
AZ0410408,AZ,PIMA,832,Ground water purchased,0,9,44.75,0,1,0,6,4,1,0,0,0,0,0,2,1,0,0,1
AZ0410409,AZ,PIMA,216,Ground water,1,26,114.037037,0,0,0,3,3,4,7,4,4,3,1,1,0,0,0,0
AZ0410410,AZ,PIMA,297,Ground water,0,23,111.5652174,0,0,0,1,2,4,7,4,4,2,0,0,0,0,0,0
AZ0410411,AZ,PIMA,162,Ground water,0,75,93.06756757,0,1,0,6,7,2,0,0,0,3,0,41,22,0,0,0
AZ0410414,AZ,PIMA,416,Ground water,0,11,56.33333333,0,1,1,5,1,3,2,0,0,0,1,1,1,2,0,0
AZ0410435,AZ,PIMA,34,Ground water,0,6,85,0,0,0,5,1,1,2,0,0,0,0,1,1,0,0,0
AZ0410445,AZ,PIMA,26,Ground water,0,24,134.6818182,0,1,1,11,2,0,1,0,3,5,6,6,1,0,0,0
AZ0410450,AZ,PIMA,309,Ground water,0,15,146.5714286,0,1,0,5,0,9,2,0,0,1,0,2,1,0,0,0
AZ0410470,AZ,PIMA,34,Ground water purchased,0,30,157.5862069,0,1,0,4,0,0,0,7,7,7,6,1,1,1,0,0
AZ0410481,AZ,PIMA,45,Ground water,0,4,29.25,0,0,0,4,0,0,0,0,2,0,0,0,1,1,0,0
AZ0411003,AZ,PINAL,55,Ground water,0,16,29.35714286,0,1,1,14,2,0,0,1,1,3,3,1,4,1,0,0
AZ0411004,AZ,PINAL,57647,Ground water,0,72,345.0277778,0,0,0,0,22,46,3,0,0,1,0,0,0,0,0,0
AZ0411005,AZ,PINAL,300,Ground water,0,48,136.3658537,0,7,0,5,6,6,2,3,6,4,6,7,4,3,0,1
AZ0411009,AZ,PINAL,88019,Ground water,0,199,494.6281407,0,0,0,5,46,52,14,21,42,0,0,0,0,2,0,22
AZ0411012,AZ,PINAL,844,Ground water,0,65,1325.569231,0,0,0,4,58,3,1,0,2,0,0,0,1,0,0,0
AZ0411017,AZ,PINAL,14880,Ground water,6,104,783.8857143,12,4,1,10,79,10,5,0,3,1,2,2,3,2,0,3
AZ0411018,AZ,PINAL,1835,Ground water,0,31,99.07142857,0,3,0,14,3,4,0,1,0,0,6,6,8,0,0,3
AZ0411019,AZ,PINAL,5538,Ground water,0,3,70.33333333,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
AZ0411020,AZ,PINAL,5721,Ground water purchased,0,7,70.33333333,0,0,1,2,2,2,0,1,0,0,0,0,2,0,0,0
AZ0411021,AZ,PINAL,3860,Ground water,0,2,91,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AZ0411022,AZ,PINAL,49,Ground water,0,64,663.7704918,0,3,0,24,37,2,7,10,3,0,2,1,0,0,0,2
