wid,state,county,population,watertype,health,reporting,length,analytics,lead,e_coli,coliform,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,unknown/old
AK2210786,AK,ANCHORAGE MUNICIPALITY,35,Ground water,0,6,49.66666667,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,1
AK2210794,AK,ANCHORAGE MUNICIPALITY,175,Ground water,0,357,202.8089888,0,1,0,17,2,2,24,5,3,0,0,2,211,102,0,6
AK2210891,AK,ANCHORAGE MUNICIPALITY,25,Ground water,0,8,159.125,0,0,0,6,0,0,2,0,0,2,0,1,2,1,0,0
AK2210906,AK,ANCHORAGE MUNICIPALITY,221351,Surface water,0,15,96.53333333,0,1,4,0,0,0,0,0,0,0,2,0,0,13,0,0
AK2211025,AK,ANCHORAGE MUNICIPALITY,480,Ground water,0,26,950.36,0,1,0,2,0,1,0,2,0,0,0,0,1,1,0,21
AK2211075,AK,ANCHORAGE MUNICIPALITY,1395,Ground water,0,6,110.1666667,0,0,0,1,0,0,1,0,0,0,0,0,2,3,0,0
AK2211091,AK,ANCHORAGE MUNICIPALITY,175,Ground water,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AK2211114,AK,ANCHORAGE MUNICIPALITY,493,Ground water,2,1,90.33333333,0.0145,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
AK2211122,AK,ANCHORAGE MUNICIPALITY,48,Ground water,0,31,89,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0
AK2211164,AK,ANCHORAGE MUNICIPALITY,130,Ground water,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AK2211198,AK,ANCHORAGE MUNICIPALITY,160,Ground water,0,2,60,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0
AK2211229,AK,ANCHORAGE MUNICIPALITY,350,Surface water purchased,3,2,90,0.015666667,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0
AK2211423,AK,ANCHORAGE MUNICIPALITY,17371,Surface water purchased,0,6,42.2,0,1,0,3,0,1,0,0,0,0,0,0,4,0,0,1
AK2211431,AK,ANCHORAGE MUNICIPALITY,852,Ground water,0,2,90,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AK2211473,AK,ANCHORAGE MUNICIPALITY,70,Ground water,0,28,868.8571429,0,0,0,6,0,0,0,0,0,22,3,0,3,0,0,0
AK2211562,AK,ANCHORAGE MUNICIPALITY,63,Ground water,0,122,89.75206612,0,1,0,1,0,0,0,0,120,1,0,0,0,0,0,1
AK2211619,AK,ANCHORAGE MUNICIPALITY,650,Ground water,0,178,260.9548023,0,1,0,4,0,31,7,0,121,2,0,0,2,3,0,12
AK2211669,AK,ANCHORAGE MUNICIPALITY,50,Ground water,0,8,93.875,0,0,0,7,1,0,0,0,0,2,2,2,0,1,0,0
AK2211677,AK,ANCHORAGE MUNICIPALITY,1005,Ground water,8,7,82.13333333,0.015,0,0,1,1,2,2,5,1,0,1,2,0,1,0,0
AK2211708,AK,ANCHORAGE MUNICIPALITY,48,Ground water,0,245,321.8237705,0,1,0,1,0,0,1,0,30,21,0,120,1,60,0,12
AK2211724,AK,ANCHORAGE MUNICIPALITY,102,Ground water,0,2,197.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
AK2211813,AK,ANCHORAGE MUNICIPALITY,75,Ground water,0,7,91,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,6
AK2211821,AK,ANCHORAGE MUNICIPALITY,100,Ground water,3,29,765.84375,0.016333333,0,0,5,0,0,3,0,1,21,1,5,0,1,0,0
AK2211897,AK,ANCHORAGE MUNICIPALITY,242,Ground water,0,13,222.1666667,0,1,0,4,0,3,1,0,1,1,1,3,1,1,0,1
AK2211936,AK,ANCHORAGE MUNICIPALITY,80,Ground water,0,1,27,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AK2211952,AK,VALDEZ-CORDOVA CENSUS AREA,650,Ground water,0,1,364,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AK2212005,AK,ANCHORAGE MUNICIPALITY,51,Ground water,0,2,90,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0
AK2212039,AK,ANCHORAGE MUNICIPALITY,20602,Surface water,2,5,163.4,0,1,0,2,2,0,1,1,0,0,2,1,0,0,0,0
AK2212128,AK,ANCHORAGE MUNICIPALITY,600,Ground water,0,6,84.83333333,0,0,0,5,0,0,4,1,0,0,0,0,0,1,0,0
AK2212461,AK,ANCHORAGE MUNICIPALITY,144,Ground water,0,5,41.2,0,0,0,4,0,1,3,1,0,0,0,0,0,0,0,0
AK2212819,AK,ANCHORAGE MUNICIPALITY,50,Ground water,0,182,320.7955801,0,1,0,1,0,30,23,0,121,0,1,0,0,0,0,7
AK2212916,AK,ANCHORAGE MUNICIPALITY,72,Ground water,0,2,91,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
AK2212924,AK,ANCHORAGE MUNICIPALITY,36,Ground water,1,12,90.16666667,0,1,0,10,1,1,0,1,0,0,2,0,6,1,0,1
AK2213019,AK,ANCHORAGE MUNICIPALITY,45,Ground water,0,3,29.5,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0
AK2213239,AK,ANCHORAGE MUNICIPALITY,65,Ground water,0,36,731.7647059,0,2,0,9,3,6,2,2,0,1,0,0,0,0,0,22
AK2213530,AK,ANCHORAGE MUNICIPALITY,48,Ground water,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AK2213564,AK,ANCHORAGE MUNICIPALITY,94,Ground water,0,1,89,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AK2213598,AK,ANCHORAGE MUNICIPALITY,200,Ground water,0,2,2191,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AK2213768,AK,ANCHORAGE MUNICIPALITY,48,Ground water,0,3,59.5,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1
AK2213792,AK,ANCHORAGE MUNICIPALITY,120,Ground water,0,32,87.09677419,0,1,0,1,0,0,0,0,30,1,0,0,0,1,0,0
AK2213962,AK,ANCHORAGE MUNICIPALITY,34,Ground water,0,32,89.0625,0,0,0,2,0,0,0,0,30,0,0,0,1,1,0,0
AK2214706,AK,ANCHORAGE MUNICIPALITY,260,Ground water,0,2,1095,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AK2215524,AK,ANCHORAGE MUNICIPALITY,75,Ground water,0,8,109.375,0,0,0,5,0,1,5,1,0,0,0,0,1,0,0,0
AK2215558,AK,ANCHORAGE MUNICIPALITY,78,Ground water,0,100,320.85,0,0,0,15,0,1,1,0,60,24,4,3,3,4,0,0
AK2215566,AK,ANCHORAGE MUNICIPALITY,50,Ground water,0,10,222.4444444,0,1,0,6,0,1,1,0,0,1,1,4,1,1,0,0
AK2216198,AK,ANCHORAGE MUNICIPALITY,220,Ground water,0,10,69.2,0,0,0,8,2,1,3,1,1,1,0,1,0,0,0,0
AK2216902,AK,ANCHORAGE MUNICIPALITY,40,Ground water,4,131,254.4210526,3.7115,3,0,62,1,4,31,11,34,13,10,13,7,11,0,0
AK2218630,AK,ANCHORAGE MUNICIPALITY,935,Ground water,0,2,30,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
AK2218652,AK,ANCHORAGE MUNICIPALITY,168,Ground water,0,34,82.02941176,0,0,0,4,0,0,0,0,30,0,1,1,1,1,0,0
AK2218653,AK,ANCHORAGE MUNICIPALITY,60,Ground water,0,6,85.66666667,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0
AK2218807,AK,ANCHORAGE MUNICIPALITY,84,Ground water,0,25,88.56,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0
AK2220037,AK,MATANUSKA-SUSITNA BOROUGH,465,Ground water,2,52,928.4117647,10.007,1,0,0,0,1,42,0,2,0,0,4,3,1,0,1
AK2220070,AK,MATANUSKA-SUSITNA BOROUGH,100,Ground water,0,8,125.2857143,0,1,0,5,0,0,0,1,0,1,1,3,1,1,0,0
AK2220086,AK,MATANUSKA-SUSITNA BOROUGH,55,Ground water,0,22,352.5454545,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0
AK2220094,AK,MATANUSKA-SUSITNA BOROUGH,342,Ground water,3,27,116.1785714,16,2,0,3,24,1,0,1,0,1,0,1,1,1,0,0
AK2220095,AK,MATANUSKA-SUSITNA BOROUGH,50,Ground water,0,46,365,0,4,0,0,0,0,42,1,1,1,0,0,0,1,0,0
AK2220135,AK,MATANUSKA-SUSITNA BOROUGH,135,Ground water,2,4,29.16666667,0,0,0,2,0,0,0,1,0,0,1,0,4,0,0,0
AK2220138,AK,MATANUSKA-SUSITNA BOROUGH,50,Ground water,0,25,130.173913,0,1,0,1,0,0,0,0,0,23,0,0,0,2,0,0
AK2220139,AK,MATANUSKA-SUSITNA BOROUGH,110,Ground water,0,8,29.5,0,1,0,6,1,4,0,0,1,0,0,1,0,0,0,1
AK2220146,AK,MATANUSKA-SUSITNA BOROUGH,75,Ground water,2,258,97.84435798,0,3,0,2,0,0,0,0,64,129,66,0,0,1,0,0
AK2220151,AK,MATANUSKA-SUSITNA BOROUGH,300,Ground water,0,41,360.1463415,0,0,0,0,21,9,11,0,0,0,0,0,0,0,0,0
AK2220159,AK,MATANUSKA-SUSITNA BOROUGH,60,Ground water,0,25,83.33333333,0,0,0,3,23,0,1,1,0,0,0,0,0,0,0,0
AK2220170,AK,MATANUSKA-SUSITNA BOROUGH,115,Ground water,0,144,89.01438849,0,3,0,3,0,0,0,0,0,74,67,1,0,2,0,0
