,wid,links,county,city,state,population,watertype
2221,WA5397123,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5397123&state=WA&source=Ground%20water&population=40&sys_num=0,STEVENS,NOT REPORTED,WA,40,Ground water
2640,OR4100418,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OR4100418&state=OR&source=Ground%20water&population=5460&sys_num=0,LANE,NOT REPORTED,OR,5460,Ground water
13501,MO1036167,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO1036167&state=MO&source=Ground%20water&population=130&sys_num=0,JOHNSON,KNOB NOSTER,MO,130,Ground water
47305,MD0010005,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0010005&state=MD&source=Surface%20water%20purchased&population=5425&sys_num=0,ALLEGANY,NOT REPORTED,MD,5425,Surface water purchased
26573,GA0710017,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=GA0710017&state=GA&source=Ground%20water&population=260&sys_num=0,COLQUITT,NOT REPORTED,GA,260,Ground water
20413,OH7002012,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OH7002012&state=OH&source=Ground%20water&population=98&sys_num=0,RICHLAND,NOT REPORTED,OH,98,Ground water
44339,NJ0506013,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ0506013&state=NJ&source=Ground%20water&population=85&sys_num=0,CAPE MAY,MIDDLE TWP.-0506,NJ,85,Ground water
36169,MI0000088,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0000088&state=MI&source=Surface%20water%20purchased&population=189&sys_num=0,SAGINAW,NOT REPORTED,MI,189,Surface water purchased
42088,TX1470007,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX1470007&state=TX&source=Ground%20water&population=78&sys_num=0,LIMESTONE,NOT REPORTED,TX,78,Ground water
39710,CA1009028,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CA1009028&state=CA&source=Surface%20water&population=160&sys_num=0,FRESNO,NOT REPORTED,CA,160,Surface water
17983,IL0315750,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0315750&state=IL&source=Surface%20water%20purchased&population=219&sys_num=0,COOK,NOT REPORTED,IL,219,Surface water purchased
9218,KS2000303,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2000303&state=KS&source=Surface%20water%20purchased&population=1200&sys_num=0,ANDERSON,WESTPHALIA,KS,1200,Surface water purchased
37776,AK2241648,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=AK2241648&state=AK&source=Surface%20water&population=360&sys_num=0,KENAI PENINSULA BOROUGH,NIKOLAEVSK,AK,360,Surface water
