,,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Jasper County, Illinois",,"3,796",119,210,194,184,298,140,131,210,202,453,482,609,280,123,118,43
"Jefferson County, Illinois",,"15,289","1,402","1,056","1,276",909,763,937,726,889,832,"1,244","1,529","1,628",980,433,365,320
"Jersey County, Illinois",,"8,873",591,281,516,540,379,392,417,374,392,"1,008",911,"1,307",835,497,248,185
"Jo Daviess County, Illinois",,"9,555",524,484,501,484,460,607,592,354,522,972,852,"1,428",784,355,381,255
"Johnson County, Illinois",,"4,380",438,329,320,206,295,348,159,280,150,384,423,404,290,173,100,81
"Kane County, Illinois",,"171,316","6,850","5,333","6,559","6,608","7,051","7,204","7,235","6,759","6,553","12,601","17,555","24,168","18,168","12,688","13,496","12,488"
"Kankakee County, Illinois",,"41,430","3,156","2,140","2,074","2,267","2,032","2,487","1,944","2,207","1,995","3,240","4,411","5,615","3,818","1,862","1,421",761
"Kendall County, Illinois",,"38,453","1,004",721,699,"1,002","1,071","1,201","1,051","1,542","1,324","2,910","4,457","6,743","5,700","3,326","3,526","2,176"
"Knox County, Illinois",,"21,438","1,869","1,369","1,794","1,678","1,355","1,495","1,199","1,072",984,"1,693","2,032","2,297","1,455",451,442,253
"Lake County, Illinois",,"241,846","10,453","6,755","7,758","9,199","7,984","9,262","9,089","8,625","8,349","16,923","22,516","31,143","23,766","18,060","22,468","29,496"
"LaSalle County, Illinois",,"43,891","2,922","2,657","2,580","2,243","2,068","2,468","2,355","2,390","1,807","3,712","5,027","5,656","3,824","1,996","1,251",935
"Lawrence County, Illinois",,"4,981",293,332,406,394,482,329,275,297,235,387,589,461,217,124,96,64
"Lee County, Illinois",,"13,468",795,739,679,698,630,989,671,634,681,"1,261","1,582","1,900","1,078",378,427,326
"Livingston County, Illinois",,"14,515",722,673,963,856,678,670,562,727,739,"1,342","1,660","2,237","1,255",745,330,356
"Logan County, Illinois",,"10,908",893,631,731,529,564,565,609,524,415,929,"1,421","1,432",768,388,278,231
"McDonough County, Illinois",,"12,553","1,981",903,883,864,775,551,544,584,513,814,"1,134","1,284",630,498,409,186
"McHenry County, Illinois",,"109,221","3,445","2,550","3,380","4,246","3,813","4,311","3,646","4,145","3,967","8,657","11,450","17,128","13,483","8,080","9,814","7,106"
"McLean County, Illinois",,"64,415","4,802","2,860","2,809","2,793","3,052","2,669","2,588","2,780","2,243","4,626","6,870","8,243","6,474","4,128","4,222","3,256"
"Macon County, Illinois",,"45,153","4,040","2,775","2,706","2,694","2,837","2,483","2,148","2,120","2,194","3,603","4,762","5,309","3,368","1,351","1,582","1,181"
"Macoupin County, Illinois",,"19,098","1,071",892,"1,240","1,173",985,"1,174","1,028",981,848,"1,726","2,192","2,608","1,541",689,600,350
"Madison County, Illinois",,"107,298","7,415","5,424","5,974","5,636","5,636","5,132","5,271","4,847","4,474","9,076","11,614","14,351","9,396","5,191","4,419","3,442"
"Marion County, Illinois",,"15,835","1,254","1,190","1,428","1,231",782,888,825,747,777,"1,247","1,709","1,951",909,387,333,177
"Marshall County, Illinois",,"4,926",175,269,260,223,292,308,274,217,205,572,587,689,385,200,173,97
"Mason County, Illinois",,"6,155",495,394,524,420,287,467,334,313,284,447,671,645,430,185,191,68
"Massac County, Illinois",,"6,013",486,440,398,479,269,365,350,392,354,425,559,735,460,127,62,112
"Menard County, Illinois",,"5,119",284,179,322,209,186,208,230,307,210,425,640,756,420,390,193,160
"Mercer County, Illinois",,"6,662",342,287,405,315,284,336,473,378,437,578,785,939,573,253,114,163
"Monroe County, Illinois",,"12,557",338,277,400,451,503,564,496,551,524,"1,230","1,544","1,860","1,473",772,838,736
"Montgomery County, Illinois",,"10,923",704,663,932,657,814,597,512,555,609,938,"1,041","1,402",698,422,209,170
"Morgan County, Illinois",,"13,961",960,791,826,866,895,996,688,761,571,"1,025","1,250","2,012","1,014",595,393,318
"Moultrie County, Illinois",,"5,669",228,344,347,342,455,302,382,336,194,573,569,755,394,246,115,87
"Ogle County, Illinois",,"20,759","1,080",998,"1,049","1,064","1,122","1,086","1,003",862,974,"1,882","2,222","2,809","2,026","1,178",923,481
"Peoria County, Illinois",,"76,019","6,316","3,534","3,912","4,575","4,288","3,772","3,250","3,936","3,216","6,558","7,780","9,824","5,845","3,496","3,016","2,701"
"Perry County, Illinois",,"8,048",880,469,526,638,482,449,547,423,312,819,705,845,477,238,182,56
"Piatt County, Illinois",,"6,623",158,337,214,180,282,468,239,351,320,559,825,"1,029",616,442,282,321
"Pike County, Illinois",,"6,675",576,585,313,471,507,526,481,371,218,661,494,823,379,110,96,64
"Pope County, Illinois",,"1,672",130,113,93,111,121,139,144,96,18,225,139,173,59,52,37,22
"Pulaski County, Illinois",,"2,337",305,229,165,149,142,208,103,103,91,171,205,220,133,51,22,40
"Putnam County, Illinois",,"2,427",76,82,184,156,99,123,116,158,107,183,271,377,240,110,54,91
"Randolph County, Illinois",,"12,050",841,524,588,876,700,845,632,695,433,992,"1,496","1,396","1,173",470,237,152
"Richland County, Illinois",,"6,576",425,496,583,366,277,457,341,392,322,557,710,695,425,257,131,142
"Rock Island County, Illinois",,"60,367","4,560","3,172","3,314","3,588","3,720","3,343","3,434","3,082","3,060","5,242","6,855","7,066","4,343","2,149","1,823","1,616"
"St. Clair County, Illinois",,"102,404","9,089","6,054","6,456","5,320","5,446","5,492","4,636","4,630","3,467","8,388","9,644","12,270","8,601","5,170","4,717","3,024"
"Saline County, Illinois",,"10,070","1,138",742,921,829,395,584,568,486,444,904,989,938,531,305,163,133
"Sangamon County, Illinois",,"83,102","5,902","4,223","4,286","4,289","3,691","4,293","3,894","3,891","3,472","6,186","8,949","10,886","7,311","4,259","4,341","3,229"
"Schuyler County, Illinois",,"3,042",162,173,73,182,234,208,161,191,190,250,370,494,172,70,84,28
"Scott County, Illinois",,"2,074",185,92,117,133,97,117,129,111,86,210,247,257,113,87,50,43
"Shelby County, Illinois",,"8,941",567,448,598,511,492,662,392,598,392,858,"1,086","1,106",685,320,136,90
"Stark County, Illinois",,"2,403",127,86,195,117,106,183,139,104,97,184,341,339,161,89,35,100
"Stephenson County, Illinois",,"19,311","1,445","1,309","1,150","1,487","1,137","1,280",903,"1,015",993,"1,844","1,757","2,299","1,447",622,411,212
"Tazewell County, Illinois",,"54,330","2,497","2,010","2,730","2,468","2,603","3,094","2,699","2,710","2,753","4,756","6,300","8,079","4,965","2,951","2,136","1,579"
"Union County, Illinois",,"6,815",590,607,452,372,496,463,304,331,377,550,687,707,356,218,164,141
"Vermilion County, Illinois",,"31,601","2,803","1,840","2,237","2,236","1,914","1,986","1,917","1,603","1,486","2,747","3,144","3,919","1,848",877,611,433
"Wabash County, Illinois",,"4,806",441,207,394,254,173,288,260,202,240,480,497,728,315,75,181,71
"Warren County, Illinois",,"6,817",401,412,506,474,340,464,515,385,342,589,659,794,410,209,189,128
"Washington County, Illinois",,"5,788",368,227,337,263,380,325,282,230,317,509,678,722,546,205,279,120
"Wayne County, Illinois",,"7,047",453,523,414,480,417,450,449,371,510,591,687,833,404,205,123,137
"White County, Illinois",,"6,300",512,508,452,287,433,310,356,273,245,542,704,795,388,213,150,132
"Whiteside County, Illinois",,"23,328","1,361","1,086","1,477","1,479","1,279","1,641","1,445","1,055","1,175","2,165","2,632","3,158","1,553",787,712,323
"Will County, Illinois",,"223,379","8,129","5,377","7,720","8,039","7,888","7,763","7,954","8,108","8,262","16,630","23,867","35,127","25,894","18,845","19,213","14,563"
"Williamson County, Illinois",,"26,758","2,224","1,694","1,772","1,655","1,552","1,820","1,411","1,585","1,116","1,843","2,969","3,177","1,894",868,696,482
"Winnebago County, Illinois",,"113,553","10,108","6,363","6,546","7,220","6,090","6,240","5,994","5,671","4,734","9,628","12,067","14,479","7,585","4,148","3,700","2,980"
"Woodford County, Illinois",,"14,373",499,485,642,630,521,500,695,701,596,"1,243","1,412","2,331","1,581","1,126",836,575
"Adams County, Indiana",,"12,164",777,457,787,823,667,721,781,643,606,"1,231","1,686","1,462",732,358,201,232
"Allen County, Indiana",,"139,384","9,884","6,799","7,268","7,688","8,095","8,807","7,525","7,814","6,963","12,682","15,251","18,004","9,689","5,071","3,984","3,860"
"Bartholomew County, Indiana",,"30,516","1,460","1,642","1,576","1,952","1,448","1,587","1,758","1,336","1,347","2,413","3,805","3,845","2,745","1,337","1,253","1,012"
"Benton County, Indiana",,"3,464",207,150,210,206,284,194,174,210,194,280,432,440,229,160,76,18
"Blackford County, Indiana",,"5,236",372,329,338,500,339,368,431,391,238,514,525,427,191,132,92,49
"Boone County, Indiana",,"22,248",893,650,650,855,966,826,"1,148","1,172",994,"1,549","2,585","3,032","1,870","1,151","1,627","2,280"
"Brown County, Indiana",,"5,926",465,235,287,329,374,278,294,296,196,514,750,735,493,298,246,136
"Carroll County, Indiana",,"7,828",245,447,427,512,537,431,364,396,346,701,"1,010","1,101",630,300,228,153
"Cass County, Indiana",,"14,759",993,781,858,"1,295","1,057","1,044","1,082",862,643,"1,460","1,717","1,493",724,239,282,229
"Clark County, Indiana",,"42,774","2,810","1,892","2,481","2,550","2,069","1,958","2,814","2,378","1,911","3,943","5,411","5,823","3,108","1,762",976,888
"Clay County, Indiana",,"10,221",710,599,761,609,690,662,367,545,636,898,"1,202","1,157",670,396,197,122
"Clinton County, Indiana",,"11,853",609,615,815,689,746,572,522,802,600,989,"1,562","1,634",800,438,293,167
"Crawford County, Indiana",,"4,166",409,259,309,367,231,235,210,284,272,380,508,365,197,91,49,0
"Daviess County, Indiana",,"11,462",757,695,596,564,752,615,708,715,748,"1,001","1,282","1,451",697,347,361,173
"Dearborn County, Indiana",,"18,648",934,812,671,847,787,"1,313",872,892,791,"1,641","2,103","2,864","1,816",939,793,573
"Decatur County, Indiana",,"9,809",536,380,514,656,531,602,642,589,492,"1,237","1,215","1,181",629,277,200,128
"DeKalb County, Indiana",,"16,235",799,831,898,"1,048","1,094",922,846,997,748,"1,689","1,911","2,218","1,075",527,355,277
"Delaware County, Indiana",,"46,239","4,880","3,679","3,485","3,329","2,824","3,083","2,991","2,151","2,372","3,214","4,261","4,556","2,527","1,300",820,767
"Dubois County, Indiana",,"15,926",594,800,932,812,852,939,875,653,664,"1,657","2,049","2,467","1,399",459,466,308
"Elkhart County, Indiana",,"70,427","4,650","3,648","3,860","3,840","4,266","4,720","4,332","4,295","3,746","6,765","8,428","8,628","4,121","2,211","1,628","1,289"
"Fayette County, Indiana",,"9,336","1,026",674,810,761,483,662,441,572,565,823,954,754,440,158,101,112
"Floyd County, Indiana",,"29,017","2,099","1,456","1,562","1,609","1,387","1,281","1,214","1,655","1,405","2,431","3,038","3,783","2,404","1,550","1,155",988
"Fountain County, Indiana",,"6,912",298,405,426,472,502,424,433,440,365,659,745,835,422,231,199,56
"Franklin County, Indiana",,"8,726",414,472,330,503,540,566,560,637,324,733,"1,016","1,315",568,312,248,188
"Fulton County, Indiana",,"8,208",675,513,599,569,708,312,511,501,452,722,822,930,552,115,144,83
"Gibson County, Indiana",,"12,987",702,726,776,620,779,901,761,821,665,988,"1,280","1,856","1,011",516,381,204
"Grant County, Indiana",,"26,829","2,329","1,808","2,264","1,648","1,972","1,849","1,572","1,690","1,298","2,348","2,666","2,979","1,142",433,492,339
"Greene County, Indiana",,"12,879","1,020",864,808,897,844,728,755,704,534,"1,138","1,386","1,698",592,367,383,161
"Hamilton County, Indiana",,"105,578","2,669","2,214","2,639","3,086","3,075","3,486","4,017","3,427","3,932","7,134","10,511","15,678","13,336","9,423","9,956","10,995"
"Hancock County, Indiana",,"26,142",977,894,"1,028",970,"1,294","1,235","1,176","1,213",971,"2,374","3,165","4,418","3,091","1,161","1,270",905
"Harrison County, Indiana",,"14,678",903,792,643,884,582,850,782,725,654,"1,416","1,720","2,232","1,258",692,369,176
"Hendricks County, Indiana",,"53,959","1,584","1,278","1,701","1,503","2,000","2,552","2,190","2,626","2,892","4,866","6,504","8,355","6,281","3,987","3,423","2,217"
"Henry County, Indiana",,"18,214","1,905","1,027","1,133","1,050","1,260","1,343","1,333",948,976,"1,489","1,804","2,140",906,442,230,228
"Howard County, Indiana",,"34,386","3,268","1,807","2,677","2,133","2,397","2,305","1,686","1,686","1,426","2,456","3,496","4,096","2,497","1,008",891,557
"Huntington County, Indiana",,"14,413",729,845,909,949,871,955,688,909,669,"1,486","1,587","1,907","1,111",334,304,160
"Jackson County, Indiana",,"16,657",963,"1,080",989,878,"1,100",871,"1,032",895,872,"1,718","2,033","2,221","1,074",499,292,140
"Jasper County, Indiana",,"11,988",530,378,613,597,507,710,584,645,661,"1,082","1,565","2,060","1,029",379,443,205
"Jay County, Indiana",,"8,196",508,626,576,602,602,431,683,465,390,728,986,878,464,128,59,70
"Jefferson County, Indiana",,"12,746",789,652,835,916,841,728,812,731,858,"1,124","1,275","1,655",593,510,325,102
"Jennings County, Indiana",,"10,585",787,742,733,403,618,778,596,665,410,"1,116","1,288","1,263",669,213,183,121
"Johnson County, Indiana",,"52,873","2,256","1,848","2,300","2,352","2,393","2,797","2,280","2,576","2,749","4,579","5,926","7,937","4,843","3,242","2,723","2,072"
"Knox County, Indiana",,"14,705","1,297","1,091","1,054",815,865,976,796,755,627,"1,349","1,644","1,609",950,351,290,236
"Kosciusko County, Indiana",,"29,414","1,661","1,561","1,270","1,404","1,333","1,660","1,500","1,499","1,773","3,123","3,565","3,942","2,218","1,066",930,909
"LaGrange County, Indiana",,"11,735",565,522,786,528,635,834,569,765,850,"1,389","1,377","1,210",719,373,392,221
"Lake County, Indiana",,"182,919","15,646","10,530","11,032","9,978","9,647","10,189","8,830","8,517","7,676","14,988","20,198","22,830","14,351","8,055","6,392","4,060"
"LaPorte County, Indiana",,"42,756","2,829","2,918","2,701","2,718","2,491","2,425","2,269","2,204","1,828","3,335","4,864","5,855","2,972","1,433","1,015",899
"Lawrence County, Indiana",,"18,561","1,299","1,201","1,321","1,183","1,202","1,238",915,"1,021",923,"1,673","1,919","2,308","1,269",491,272,326
"Madison County, Indiana",,"51,232","4,420","3,512","3,431","3,116","2,826","3,203","3,135","2,799","2,656","4,412","5,615","6,040","2,931","1,687",786,663
"Marion County, Indiana",,"361,648","35,152","22,753","24,359","22,599","22,924","22,409","20,528","19,703","15,678","30,861","33,049","38,469","21,800","12,600","9,802","8,962"
"Marshall County, Indiana",,"17,468",945,"1,109",964,"1,150","1,132","1,187",960,995,782,"1,505","1,679","2,627","1,111",676,363,283
"Martin County, Indiana",,"4,199",314,305,269,209,175,255,294,274,213,378,480,500,212,137,153,31
"Miami County, Indiana",,"13,246",979,866,644,945,"1,018",888,813,587,590,"1,224","1,520","1,656",848,373,159,136
"Monroe County, Indiana",,"53,778","7,742","3,814","3,295","2,946","2,971","2,533","2,609","2,616","2,007","3,857","5,096","5,780","3,266","1,767","1,646","1,833"
"Montgomery County, Indiana",,"14,574",860,721,813,985,928,958,912,949,738,"1,407","1,722","1,698",960,433,306,184
"Morgan County, Indiana",,"25,456","1,207",966,"1,259","1,356","1,329","1,333","1,248","1,618","1,134","2,311","3,172","3,653","2,449","1,078",896,447
"Newton County, Indiana",,"5,327",316,320,331,217,244,374,363,317,190,541,595,768,361,125,156,109
"Noble County, Indiana",,"17,703",997,742,"1,002","1,221",974,937,856,"1,285","1,012","1,581","2,221","2,506","1,066",610,434,259
"Ohio County, Indiana",,"2,445",144,149,119,142,163,170,124,132,118,221,284,337,185,76,81,0
"Orange County, Indiana",,"7,618",571,720,437,571,659,593,381,380,444,695,800,731,354,203,63,16
"Owen County, Indiana",,"8,539",608,487,479,582,670,532,389,564,456,800,969,991,538,269,106,99
"Parke County, Indiana",,"6,128",322,316,420,421,543,463,308,451,241,550,732,816,227,100,120,98
"Perry County, Indiana",,"7,356",534,525,485,505,396,448,251,377,389,658,810,"1,112",427,286,81,72
"Pike County, Indiana",,"5,093",262,223,350,364,306,421,354,347,212,347,515,733,252,218,148,41
"Porter County, Indiana",,"61,693","3,418","2,677","2,822","2,551","2,347","2,617","2,876","2,722","2,559","4,876","6,578","8,960","7,992","3,333","3,341","2,024"
"Posey County, Indiana",,"10,178",677,329,587,374,520,494,477,463,443,727,"1,100","1,736","1,081",529,335,306
"Pulaski County, Indiana",,"5,134",453,306,297,304,233,325,436,366,290,453,496,644,344,34,84,69
"Putnam County, Indiana",,"12,557",479,411,659,888,716,825,770,812,732,"1,069","1,532","1,831",737,519,434,143
"Randolph County, Indiana",,"10,514",879,710,746,674,836,619,587,677,644,945,958,"1,189",513,276,141,120
"Ripley County, Indiana",,"10,871",509,490,557,843,545,636,679,640,492,"1,068","1,100","1,686",841,368,283,134
"Rush County, Indiana",,"6,920",481,418,405,413,305,533,447,391,298,569,730,887,522,229,173,119
"St. Joseph County, Indiana",,"101,759","7,778","6,124","6,969","6,496","6,081","6,823","5,336","5,261","5,000","8,234","10,446","11,037","6,914","3,350","2,989","2,921"
"Scott County, Indiana",,"8,973",649,591,724,477,531,581,394,706,494,"1,010","1,060",793,463,287,152,61
"Shelby County, Indiana",,"17,315",928,742,905,"1,030","1,037","1,013",834,967,781,"1,703","2,199","2,587","1,347",593,387,262
"Spencer County, Indiana",,"7,917",429,346,501,471,334,438,396,381,492,631,"1,109","1,220",647,280,139,103
"Starke County, Indiana",,"9,009",690,538,674,668,505,717,669,452,468,923,993,951,399,207,76,79
"Steuben County, Indiana",,"13,409",688,541,698,933,836,815,757,870,754,"1,366","1,591","1,598",845,497,316,304
"Sullivan County, Indiana",,"7,720",646,677,561,361,436,521,312,337,330,767,795,"1,026",499,240,115,97
"Switzerland County, Indiana",,"4,065",303,227,267,273,411,164,136,286,314,484,558,334,168,73,34,33
"Tippecanoe County, Indiana",,"66,921","7,178","3,698","4,585","4,123","3,815","3,805","3,239","3,394","2,889","5,902","6,202","7,204","4,540","2,757","1,784","1,806"
"Tipton County, Indiana",,"6,479",296,257,226,362,367,431,436,430,227,753,642,"1,024",402,355,133,138
"Union County, Indiana",,"2,949",177,172,155,239,232,209,143,110,88,352,419,321,185,80,67,0
"Vanderburgh County, Indiana",,"74,365","6,813","4,309","4,428","4,568","4,871","5,063","4,215","4,314","3,326","6,096","7,452","8,322","4,806","2,310","1,893","1,579"
"Vermillion County, Indiana",,"6,491",551,369,332,424,484,374,315,511,333,748,655,757,247,201,89,101
"Vigo County, Indiana",,"39,769","3,821","2,846","2,661","3,139","2,548","2,218","2,089","2,070","1,749","3,241","3,847","4,276","2,267","1,298",858,841
"Wabash County, Indiana",,"12,777",996,606,819,914,739,768,681,762,787,"1,345","1,369","1,703",618,326,201,143
"Warren County, Indiana",,"3,325",96,133,207,175,120,174,148,174,218,377,341,554,229,156,60,163
"Warrick County, Indiana",,"22,675",675,860,854,828,"1,394",975,"1,151",975,"1,209","1,809","2,791","3,577","2,053","1,532","1,094",898
"Washington County, Indiana",,"10,512",795,669,518,630,911,805,608,691,546,933,"1,095","1,319",467,217,206,102
"Wayne County, Indiana",,"27,891","2,714","2,226","2,306","2,273","1,778","1,807","1,524","1,452","1,156","2,039","2,858","2,947","1,375",602,466,368
"Wells County, Indiana",,"10,952",514,619,565,692,738,640,590,542,712,945,"1,417","1,374",965,272,225,142
"White County, Indiana",,"9,458",404,553,421,601,479,572,559,576,447,855,"1,301","1,362",753,241,227,107
"Whitley County, Indiana",,"13,091",524,422,677,656,810,564,763,773,692,"1,346","1,793","1,976",948,639,247,261
"Adair County, Iowa",,"3,252",142,198,187,186,213,165,221,218,216,321,357,413,181,110,74,50
"Adams County, Iowa",,"1,735",98,109,111,126,64,49,122,139,91,236,224,213,53,21,46,33
"Allamakee County, Iowa",,"5,899",244,346,308,439,427,372,337,318,249,547,727,722,458,161,123,121
"Appanoose County, Iowa",,"5,447",496,374,461,368,298,342,246,385,224,428,699,612,217,116,86,95
"Audubon County, Iowa",,"2,703",129,147,208,218,169,169,179,109,89,222,265,335,200,91,64,109
"Benton County, Iowa",,"10,137",322,381,474,516,531,677,409,416,449,958,"1,195","1,566","1,142",538,335,228
"Black Hawk County, Iowa",,"52,438","4,034","2,911","2,733","3,272","3,048","3,360","3,086","2,709","2,392","4,505","6,098","6,028","3,659","2,046","1,504","1,053"
"Boone County, Iowa",,"10,619",451,504,555,765,565,509,574,618,471,929,"1,246","1,460",891,538,295,248
"Bremer County, Iowa",,"9,296",534,406,386,444,317,397,330,437,451,788,"1,115","1,530","1,043",401,392,325
"Buchanan County, Iowa",,"8,298",336,431,422,268,386,364,492,474,393,819,"1,049","1,292",745,334,234,259
"Buena Vista County, Iowa",,"7,635",415,498,492,348,371,385,460,593,429,748,834,"1,000",539,182,173,168
"Butler County, Iowa",,"6,222",314,288,306,308,349,321,367,420,291,630,846,914,414,228,125,101
"Calhoun County, Iowa",,"4,310",300,314,299,263,252,232,289,208,202,392,381,526,269,166,96,121
"Carroll County, Iowa",,"8,557",522,588,574,385,529,544,394,439,364,533,"1,085","1,293",591,303,229,184
"Cass County, Iowa",,"6,074",327,316,461,534,391,379,327,369,435,567,619,587,302,214,108,138
"Cedar County, Iowa",,"7,639",316,291,281,368,391,320,444,300,250,880,"1,248","1,147",760,263,192,188
"Cerro Gordo County, Iowa",,"19,864","1,336","1,180","1,176","1,389","1,401","1,214","1,151","1,082","1,049","1,604","2,008","2,340","1,414",552,437,531
"Cherokee County, Iowa",,"5,384",307,304,376,254,407,274,171,290,255,493,690,675,455,148,120,165
"Chickasaw County, Iowa",,"5,330",247,327,440,381,192,335,285,396,336,431,624,633,367,147,77,112
"Clarke County, Iowa",,"3,686",291,273,380,192,240,98,196,321,159,235,359,371,319,123,98,31
"Clay County, Iowa",,"7,269",415,425,549,372,372,380,351,534,261,622,725,"1,140",515,288,167,153
"Clayton County, Iowa",,"7,698",417,520,325,386,560,507,452,413,421,786,811,"1,140",523,215,65,157
"Clinton County, Iowa",,"19,977","1,220","1,348","1,302","1,238","1,049","1,145",887,"1,254",562,"1,524","2,244","2,550","1,681",897,634,442
"Crawford County, Iowa",,"6,371",448,372,392,447,290,295,370,359,408,611,658,776,514,174,127,130
"Dallas County, Iowa",,"26,819","1,001",701,900,875,989,"1,201",854,"1,099",901,"1,786","3,125","3,903","2,789","2,288","2,168","2,239"
"Davis County, Iowa",,"3,085",190,174,210,193,253,161,193,127,213,257,368,368,100,96,71,111
"Decatur County, Iowa",,"3,085",310,259,269,197,201,213,148,144,150,272,240,352,203,37,44,46
"Delaware County, Iowa",,"7,115",340,284,356,356,337,429,434,324,316,716,848,966,716,311,252,130
"Des Moines County, Iowa",,"16,881","1,341","1,163",977,"1,169","1,136","1,055","1,196","1,050",742,"1,466","1,780","1,667","1,041",466,318,314
"Dickinson County, Iowa",,"7,831",334,344,457,611,326,442,363,214,377,800,962,956,704,295,326,320
"Dubuque County, Iowa",,"37,720","2,030","1,650","1,997","1,880","2,049","2,403","1,625","2,157","1,928","3,313","4,387","5,723","3,098","1,413","1,075",992
"Emmet County, Iowa",,"4,150",304,210,235,292,229,208,234,226,215,306,433,542,334,212,48,122
"Fayette County, Iowa",,"8,470",522,369,629,526,503,547,581,522,416,712,846,"1,205",591,219,166,116
"Floyd County, Iowa",,"6,923",504,409,628,353,332,477,420,452,266,731,741,632,452,248,163,115
"Franklin County, Iowa",,"4,321",285,175,297,269,260,273,166,280,266,407,465,534,269,108,163,104
"Fremont County, Iowa",,"3,003",139,187,189,188,135,138,140,133,169,273,432,369,215,85,88,123
"Greene County, Iowa",,"3,849",241,315,212,145,218,277,153,230,231,382,324,469,315,118,102,117
"Grundy County, Iowa",,"5,112",163,241,193,256,255,289,308,299,231,468,647,731,455,182,180,214
"Guthrie County, Iowa",,"4,559",236,216,230,247,219,240,299,289,287,469,473,636,286,124,151,157
"Hamilton County, Iowa",,"6,354",368,352,469,456,311,375,343,353,272,668,854,694,395,186,138,120
"Hancock County, Iowa",,"4,629",158,200,229,255,266,323,219,283,263,467,573,716,290,199,83,105
"Hardin County, Iowa",,"6,997",373,476,365,328,361,471,319,357,360,620,705,"1,122",591,237,161,151
"Harrison County, Iowa",,"5,959",317,305,340,354,251,264,326,386,252,583,678,924,464,218,215,82
"Henry County, Iowa",,"7,512",364,519,566,371,449,348,536,335,322,728,"1,056",912,357,326,181,142
"Howard County, Iowa",,"3,917",237,277,207,189,224,314,210,203,205,393,475,495,226,103,61,98
"Humboldt County, Iowa",,"4,200",182,247,267,308,287,281,230,186,231,358,486,504,232,192,129,80
"Ida County, Iowa",,"3,124",179,228,178,193,165,263,141,188,138,300,317,355,221,114,59,85
"Iowa County, Iowa",,"6,705",203,171,336,332,380,354,295,534,372,438,800,"1,034",763,295,275,123
"Jackson County, Iowa",,"8,494",675,463,508,518,485,477,488,524,320,846,943,"1,099",536,278,174,160
"Jasper County, Iowa",,"14,658",767,683,792,885,925,867,634,819,681,"1,241","1,838","2,142","1,233",535,412,204
"Jefferson County, Iowa",,"6,886",663,431,415,592,377,243,410,335,271,608,701,849,385,275,120,211
"Johnson County, Iowa",,"54,850","5,177","2,659","2,669","2,790","2,671","2,458","2,044","2,755","2,047","3,843","4,775","7,657","4,953","2,460","2,854","3,038"
"Jones County, Iowa",,"8,235",384,472,367,355,405,352,510,641,220,901,"1,042","1,207",607,303,287,182
"Keokuk County, Iowa",,"4,386",240,313,292,247,348,243,263,258,181,432,534,467,341,112,76,39
"Kossuth County, Iowa",,"6,628",253,404,416,324,442,401,317,328,217,635,786,977,524,155,226,223
"Lee County, Iowa",,"14,319","1,338",717,842,801,990,984,948,758,566,"1,377","1,654","1,788",808,284,291,173
"Linn County, Iowa",,"87,004","4,325","3,854","3,906","4,394","3,899","4,317","3,999","3,980","3,409","7,710","9,382","13,200","8,080","4,952","4,439","3,158"
"Louisa County, Iowa",,"4,386",224,185,181,261,291,325,209,247,182,411,563,599,377,164,117,50
"Lucas County, Iowa",,"3,745",293,240,275,338,299,129,153,237,102,374,477,417,201,100,73,37
"Lyon County, Iowa",,"4,495",217,187,224,246,253,233,222,209,207,482,658,614,310,154,153,126
"Madison County, Iowa",,"6,103",386,217,246,330,354,383,187,254,284,620,641,867,458,393,283,200
"Mahaska County, Iowa",,"9,084",798,537,630,394,443,562,455,420,388,981,"1,020","1,264",607,186,232,167
"Marion County, Iowa",,"12,843",729,585,649,570,677,606,671,637,564,"1,148","1,438","2,376","1,088",492,311,302
"Marshall County, Iowa",,"15,354",764,718,826,747,872,762,913,971,619,"1,598","2,075","2,160","1,037",557,443,292
"Mills County, Iowa",,"5,348",189,164,204,241,305,204,182,247,262,439,535,832,744,409,289,102
"Mitchell County, Iowa",,"4,453",211,249,257,302,276,241,304,286,216,369,490,591,343,147,106,65
"Monona County, Iowa",,"3,972",233,326,262,253,236,332,238,289,139,286,431,463,243,56,101,84
"Monroe County, Iowa",,"3,280",228,154,210,189,164,262,95,225,256,297,299,381,278,178,41,23
"Montgomery County, Iowa",,"4,590",328,482,384,276,255,248,131,269,182,471,549,417,321,106,106,65
"Muscatine County, Iowa",,"16,301",954,875,777,962,692,877,877,"1,124",547,"1,358","2,116","2,394","1,412",610,431,295
"O'Brien County, Iowa",,"6,018",346,409,321,385,334,322,251,271,253,510,919,701,371,163,181,281
"Osceola County, Iowa",,"2,697",96,149,164,128,169,191,202,117,102,238,442,332,164,81,80,42
"Page County, Iowa",,"6,379",468,486,385,301,400,398,416,353,243,617,762,648,414,284,79,125
"Palo Alto County, Iowa",,"4,011",213,238,382,221,242,266,187,201,217,273,477,556,251,96,106,85
