,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Brown County, Indiana",,"15,242","14,919",62,50,45,1,165
"Carroll County, Indiana",,"20,155","19,839",60,53,22,1,180
"Cass County, Indiana",,"38,966","36,893",693,427,450,67,436
"Clark County, Indiana",,"110,232","98,747","7,902",406,924,56,"2,197"
"Clay County, Indiana",,"26,890","26,442",94,59,60,8,227
"Clinton County, Indiana",,"33,224","32,636",152,115,85,7,229
"Crawford County, Indiana",,"10,713","10,502",34,45,20,9,103
"Daviess County, Indiana",,"31,648","30,945",189,99,161,21,233
"Dearborn County, Indiana",,"50,047","48,988",302,94,194,32,437
"Decatur County, Indiana",,"25,740","25,205",87,48,189,7,204
"DeKalb County, Indiana",,"42,223","41,363",159,107,197,20,377
"Delaware County, Indiana",,"117,671","105,595","8,251",319,"1,187",62,"2,257"
"Dubois County, Indiana",,"41,889","41,175",152,99,206,25,232
"Elkhart County, Indiana",,"197,559","178,312","11,786","1,207","2,055",132,"4,067"
"Fayette County, Indiana",,"24,277","23,612",331,34,81,0,219
"Floyd County, Indiana",,"74,578","68,318","3,922",213,736,18,"1,371"
"Fountain County, Indiana",,"17,240","16,953",38,55,35,10,149
"Franklin County, Indiana",,"23,087","22,796",38,34,55,2,162
"Fulton County, Indiana",,"20,836","20,188",155,168,106,5,214
"Gibson County, Indiana",,"33,503","32,143",617,81,159,3,500
"Grant County, Indiana",,"70,061","62,890","4,986",266,431,25,"1,463"
"Greene County, Indiana",,"33,165","32,659",53,93,102,7,251
"Hamilton County, Indiana",,"274,569","246,348","9,859",587,"13,438",127,"4,210"
"Hancock County, Indiana",,"70,002","66,987","1,475",165,575,21,779
"Harrison County, Indiana",,"39,364","38,552",194,100,156,11,351
"Hendricks County, Indiana",,"145,448","132,646","7,233",365,"3,131",73,"2,000"
"Henry County, Indiana",,"49,462","47,598","1,076",77,161,5,545
"Howard County, Indiana",,"82,752","74,048","5,768",301,762,29,"1,844"
"Huntington County, Indiana",,"37,124","36,272",171,147,169,17,348
"Jackson County, Indiana",,"42,376","41,125",311,100,362,51,427
"Jasper County, Indiana",,"33,478","32,739",224,88,137,12,278
"Jay County, Indiana",,"21,253","20,922",63,25,82,2,159
"Jefferson County, Indiana",,"32,428","31,161",572,75,216,9,395
"Jennings County, Indiana",,"28,525","27,920",225,31,66,6,277
"Johnson County, Indiana",,"139,654","132,900","1,650",355,"2,859",64,"1,826"
"Knox County, Indiana",,"38,440","36,702","1,021",84,216,12,405
"Kosciusko County, Indiana",,"77,358","74,994",610,289,679,32,754
"LaGrange County, Indiana",,"37,128","36,547",133,89,121,3,235
"Lake County, Indiana",,"496,005","348,512","130,576","2,452","6,480",255,"7,730"
"LaPorte County, Indiana",,"111,467","96,171","12,166",394,612,22,"2,102"
"Lawrence County, Indiana",,"46,134","45,071",187,159,226,14,477
"Madison County, Indiana",,"131,636","117,307","11,117",452,569,54,"2,137"
"Marion County, Indiana",,"903,393","611,375","245,549","4,656","19,023",805,"21,985"
"Marshall County, Indiana",,"47,051","45,856",269,139,233,27,527
"Martin County, Indiana",,"10,334","10,188",12,32,29,0,73
"Miami County, Indiana",,"36,903","34,136","1,689",337,134,10,597
"Monroe County, Indiana",,"137,974","122,476","4,595",389,"7,299",75,"3,140"
"Montgomery County, Indiana",,"38,124","37,012",348,132,215,10,407
"Morgan County, Indiana",,"68,894","67,587",178,209,254,20,646
"Newton County, Indiana",,"14,244","13,969",67,43,38,14,113
"Noble County, Indiana",,"47,536","46,534",231,137,177,19,438
"Ohio County, Indiana",,"6,128","6,038",22,12,19,0,37
"Orange County, Indiana",,"19,840","19,316",175,70,63,2,214
"Owen County, Indiana",,"21,575","21,190",65,77,66,1,176
"Parke County, Indiana",,"17,339","16,737",401,71,36,4,90
"Perry County, Indiana",,"19,338","18,625",472,36,74,4,127
"Pike County, Indiana",,"12,845","12,669",39,28,26,5,78
"Porter County, Indiana",,"164,343","154,275","5,059",582,"2,046",47,"2,334"
"Posey County, Indiana",,"25,910","25,292",236,48,76,4,254
"Pulaski County, Indiana",,"13,402","13,135",89,41,29,3,105
"Putnam County, Indiana",,"37,963","35,645","1,526",109,286,15,382
"Randolph County, Indiana",,"26,171","25,643",132,90,68,8,230
"Ripley County, Indiana",,"28,818","28,288",70,69,146,4,241
"Rush County, Indiana",,"17,392","17,029",144,32,57,4,126
"St. Joseph County, Indiana",,"266,931","218,719","34,812","1,401","5,203",248,"6,548"
"Scott County, Indiana",,"24,181","23,796",61,46,121,14,143
"Shelby County, Indiana",,"44,436","43,116",477,112,251,46,434
"Spencer County, Indiana",,"20,952","20,564",129,46,74,0,139
"Starke County, Indiana",,"23,363","22,917",74,96,42,0,234
"Steuben County, Indiana",,"34,185","33,413",198,114,170,11,279
"Sullivan County, Indiana",,"21,475","20,200",964,59,41,1,210
"Switzerland County, Indiana",,"10,613","10,443",41,24,21,5,79
"Tippecanoe County, Indiana",,"172,780","150,930","7,098",609,"10,904",74,"3,165"
"Tipton County, Indiana",,"15,936","15,681",30,32,65,5,123
"Union County, Indiana",,"7,516","7,359",33,25,19,6,74
"Vanderburgh County, Indiana",,"179,703","156,667","16,573",466,"2,041",131,"3,825"
"Vermillion County, Indiana",,"16,212","15,982",25,41,31,5,128
"Vigo County, Indiana",,"107,848","95,857","7,515",375,"1,814",39,"2,248"
"Wabash County, Indiana",,"32,888","32,027",178,222,141,7,313
"Warren County, Indiana",,"8,508","8,394",11,13,37,6,47
"Warrick County, Indiana",,"59,689","56,998",819,127,981,20,744
"Washington County, Indiana",,"28,262","27,826",66,67,87,2,214
"Wayne County, Indiana",,"68,917","62,949","3,476",234,533,54,"1,671"
"Wells County, Indiana",,"27,636","27,125",105,80,114,3,209
"White County, Indiana",,"24,643","24,072",120,117,89,5,240
"Whitley County, Indiana",,"33,292","32,625",99,108,111,7,342
"Adair County, Iowa",,"7,682","7,597",12,4,23,1,45
"Adams County, Iowa",,"4,029","3,956",8,19,24,0,22
"Allamakee County, Iowa",,"14,330","13,996",122,72,41,35,64
"Appanoose County, Iowa",,"12,887","12,633",64,33,37,1,119
"Audubon County, Iowa",,"6,119","6,039",14,9,25,1,31
"Benton County, Iowa",,"26,076","25,644",103,47,66,2,214
"Black Hawk County, Iowa",,"131,090","114,261","11,782",421,"1,744",212,"2,670"
"Boone County, Iowa",,"26,306","25,681",206,90,90,3,236
"Bremer County, Iowa",,"24,276","23,672",194,21,176,3,210
"Buchanan County, Iowa",,"20,958","20,566",67,38,90,2,195
"Buena Vista County, Iowa",,"20,260","18,154",584,85,"1,163",117,157
"Butler County, Iowa",,"14,867","14,674",27,22,35,2,107
"Calhoun County, Iowa",,"9,670","9,549",23,20,25,1,52
"Carroll County, Iowa",,"20,816","20,422",90,38,96,3,167
"Cass County, Iowa",,"13,956","13,735",36,42,30,45,68
"Cedar County, Iowa",,"18,499","18,162",53,30,89,5,160
"Cerro Gordo County, Iowa",,"44,151","42,471",593,96,381,9,601
"Cherokee County, Iowa",,"12,072","11,803",69,32,62,14,92
"Chickasaw County, Iowa",,"12,439","12,295",47,11,40,0,46
"Clarke County, Iowa",,"9,286","9,075",50,44,37,4,76
"Clay County, Iowa",,"16,667","16,297",75,39,106,1,149
"Clayton County, Iowa",,"18,129","17,856",68,23,42,17,123
"Clinton County, Iowa",,"49,116","46,573","1,308",134,287,12,802
"Crawford County, Iowa",,"17,096","16,460",236,128,117,43,112
"Dallas County, Iowa",,"66,135","62,471",953,197,"1,698",50,766
"Davis County, Iowa",,"8,753","8,635",7,19,24,0,68
"Decatur County, Iowa",,"8,457","8,106",155,34,59,17,86
"Delaware County, Iowa",,"17,764","17,536",48,20,49,2,109
"Des Moines County, Iowa",,"40,325","36,962","2,068",106,294,21,874
"Dickinson County, Iowa",,"16,667","16,433",29,14,74,5,112
"Dubuque County, Iowa",,"93,653","88,646","2,521",190,901,295,"1,100"
"Emmet County, Iowa",,"10,302","9,936",73,139,44,7,103
"Fayette County, Iowa",,"20,880","20,361",200,21,109,15,174
"Floyd County, Iowa",,"16,303","15,740",205,27,225,6,100
"Franklin County, Iowa",,"10,680","10,459",59,20,34,10,98
"Fremont County, Iowa",,"7,441","7,298",39,23,20,1,60
"Greene County, Iowa",,"9,336","9,182",27,31,30,4,62
"Grundy County, Iowa",,"12,453","12,310",29,4,27,7,76
"Guthrie County, Iowa",,"10,954","10,791",16,22,39,5,81
"Hamilton County, Iowa",,"15,673","15,065",63,49,317,0,179
"Hancock County, Iowa",,"11,341","11,132",56,17,47,3,86
"Hardin County, Iowa",,"17,534","17,030",220,45,83,3,153
"Harrison County, Iowa",,"14,928","14,703",26,47,42,0,110
"Henry County, Iowa",,"20,145","18,849",456,71,463,23,283
"Howard County, Iowa",,"9,566","9,425",25,13,24,7,72
"Humboldt County, Iowa",,"9,815","9,623",51,18,35,1,87
"Ida County, Iowa",,"7,089","7,002",17,13,19,2,36
"Iowa County, Iowa",,"16,355","16,088",64,36,58,2,107
"Jackson County, Iowa",,"19,848","19,423",68,43,47,89,178
"Jasper County, Iowa",,"36,842","35,784",473,108,164,8,305
"Jefferson County, Iowa",,"16,843","14,909",220,37,"1,443",4,230
"Johnson County, Iowa",,"130,882","114,433","6,510",349,"6,919",67,"2,604"
"Jones County, Iowa",,"20,638","19,967",408,61,90,2,110
"Keokuk County, Iowa",,"10,511","10,372",50,18,20,0,51
"Kossuth County, Iowa",,"15,543","15,300",44,37,59,6,97
"Lee County, Iowa",,"35,862","33,829","1,133",69,185,12,634
"Linn County, Iowa",,"211,226","193,464","8,455",624,"3,871",202,"4,610"
"Louisa County, Iowa",,"11,387","11,052",66,37,121,8,103
"Lucas County, Iowa",,"8,898","8,801",20,16,15,3,43
"Lyon County, Iowa",,"11,581","11,470",16,11,25,0,59
"Madison County, Iowa",,"15,679","15,420",56,34,51,1,117
"Mahaska County, Iowa",,"22,381","21,560",257,76,260,4,224
"Marion County, Iowa",,"33,309","32,311",225,62,397,8,306
"Marshall County, Iowa",,"40,648","38,521",741,255,556,66,509
"Mills County, Iowa",,"15,059","14,733",58,56,55,10,147
"Mitchell County, Iowa",,"10,776","10,663",23,13,28,2,47
"Monona County, Iowa",,"9,243","8,999",33,99,20,4,88
"Monroe County, Iowa",,"7,970","7,827",28,11,31,0,73
"Montgomery County, Iowa",,"10,740","10,560",25,39,24,5,87
"Muscatine County, Iowa",,"42,745","41,007",671,204,370,17,476
"O'Brien County, Iowa",,"14,398","14,111",90,23,87,1,86
"Osceola County, Iowa",,"6,462","6,343",25,21,19,5,49
"Page County, Iowa",,"15,932","15,160",360,92,119,6,195
"Palo Alto County, Iowa",,"9,421","9,244",52,22,31,6,66
"Plymouth County, Iowa",,"24,986","24,466",81,79,120,26,214
"Pocahontas County, Iowa",,"7,310","7,186",26,25,12,11,50
"Polk County, Iowa",,"430,640","377,433","26,740","1,870","15,536",355,"8,706"
"Pottawattamie County, Iowa",,"93,158","89,258","1,330",561,617,29,"1,363"
"Poweshiek County, Iowa",,"18,914","18,108",223,57,266,21,239
"Ringgold County, Iowa",,"5,131","5,050",17,14,16,2,32
"Sac County, Iowa",,"10,350","10,210",31,8,21,10,70
"Scott County, Iowa",,"165,224","144,945","11,943",606,"3,437",76,"4,217"
"Shelby County, Iowa",,"12,167","11,978",32,28,46,4,79
"Sioux County, Iowa",,"33,704","32,924",151,131,283,13,202
"Story County, Iowa",,"89,542","80,242","2,292",177,"5,447",24,"1,360"
"Tama County, Iowa",,"17,767","15,813",70,"1,417",47,17,403
"Taylor County, Iowa",,"6,317","6,223",20,11,17,6,40
"Union County, Iowa",,"12,534","12,221",96,40,61,3,113
"Van Buren County, Iowa",,"7,570","7,460",15,10,40,1,44
"Wapello County, Iowa",,"35,625","34,079",517,275,266,61,427
"Warren County, Iowa",,"46,225","45,138",219,120,250,11,487
"Washington County, Iowa",,"21,704","21,192",154,57,74,16,211
"Wayne County, Iowa",,"6,403","6,307",19,13,18,1,45
"Webster County, Iowa",,"38,013","35,551","1,482",128,248,11,593
"Winnebago County, Iowa",,"10,866","10,577",97,23,91,1,77
"Winneshiek County, Iowa",,"21,056","20,527",140,15,233,4,137
"Woodbury County, Iowa",,"102,172","91,690","2,558","2,764","2,477",148,"2,535"
"Worth County, Iowa",,"7,598","7,463",34,17,28,0,56
"Wright County, Iowa",,"13,229","12,957",63,26,33,13,137
"Allen County, Kansas",,"13,371","12,608",259,115,69,2,318
"Anderson County, Kansas",,"8,102","7,893",40,40,40,1,88
"Atchison County, Kansas",,"16,924","15,512",858,94,70,8,382
"Barber County, Kansas",,"4,861","4,725",22,32,20,0,62
"Barton County, Kansas",,"27,674","26,514",474,221,65,16,384
"Bourbon County, Kansas",,"15,173","14,199",442,121,73,5,333
"Brown County, Kansas",,"9,984","8,583",135,944,31,1,290
"Butler County, Kansas",,"65,880","62,264","1,108",688,476,47,"1,297"
"Chase County, Kansas",,"2,790","2,695",34,15,9,0,37
"Chautauqua County, Kansas",,"3,669","3,358",23,150,3,2,133
"Cherokee County, Kansas",,"21,603","19,640",118,884,66,65,830
"Cheyenne County, Kansas",,"2,726","2,686",2,6,19,0,13
"Clark County, Kansas",,"2,215","2,127",1,14,17,2,54
"Clay County, Kansas",,"8,535","8,330",39,40,27,2,97
"Cloud County, Kansas",,"9,533","9,303",51,36,22,1,120
"Coffey County, Kansas",,"8,601","8,331",47,63,36,0,124
"Comanche County, Kansas",,"1,891","1,854",6,4,5,2,20
"Cowley County, Kansas",,"36,311","32,722","1,037",818,599,28,"1,107"
"Crawford County, Kansas",,"39,134","36,418",809,376,483,98,950
"Decatur County, Kansas",,"2,961","2,899",17,13,7,0,25
"Dickinson County, Kansas",,"19,754","19,006",162,111,63,12,400
"Doniphan County, Kansas",,"7,945","7,429",250,86,20,0,160
"Douglas County, Kansas",,"110,826","95,111","4,512","3,118","4,180",74,"3,831"
"Edwards County, Kansas",,"3,037","2,913",42,32,12,0,38
"Elk County, Kansas",,"2,882","2,763",0,42,12,1,64
"Ellis County, Kansas",,"28,452","27,328",258,91,392,8,375
"Ellsworth County, Kansas",,"6,497","6,043",299,36,27,0,92
"Finney County, Kansas",,"36,776","33,532",917,482,"1,286",33,526
"Ford County, Kansas",,"33,848","31,363",797,566,524,83,515
"Franklin County, Kansas",,"25,992","24,690",335,233,103,2,629
"Geary County, Kansas",,"34,362","23,821","6,574",374,"1,141",299,"2,153"
"Gove County, Kansas",,"2,695","2,655",12,2,11,1,14
"Graham County, Kansas",,"2,597","2,395",99,19,9,0,75
"Grant County, Kansas",,"7,829","7,515",62,137,27,0,88
"Gray County, Kansas",,"6,006","5,879",33,35,14,0,45
"Greeley County, Kansas",,"1,247","1,220",7,8,4,0,8
"Greenwood County, Kansas",,"6,689","6,442",24,75,18,0,130
"Hamilton County, Kansas",,"2,690","2,586",8,53,7,4,32
"Harper County, Kansas",,"6,034","5,837",24,72,9,17,75
"Harvey County, Kansas",,"34,684","32,813",587,299,258,16,711
"Haskell County, Kansas",,"4,256","4,118",14,53,15,7,49
"Hodgeman County, Kansas",,"1,916","1,866",20,3,8,0,19
"Jackson County, Kansas",,"13,462","11,838",81,"1,093",48,1,401
"Jefferson County, Kansas",,"19,126","18,495",105,171,39,6,310
"Jewell County, Kansas",,"3,077","3,018",5,20,6,0,28
"Johnson County, Kansas",,"544,179","482,169","24,417","2,355","23,270",393,"11,575"
"Kearny County, Kansas",,"3,977","3,830",24,45,20,1,57
"Kingman County, Kansas",,"7,858","7,669",14,48,37,2,88
"Kiowa County, Kansas",,"2,553","2,470",17,24,18,1,23
"Labette County, Kansas",,"21,607","19,185","1,020",478,77,13,834
"Lane County, Kansas",,"1,750","1,685",8,20,4,1,32
"Leavenworth County, Kansas",,"76,227","64,932","7,330",634,985,120,"2,226"
"Lincoln County, Kansas",,"3,241","3,185",10,17,6,0,23
"Linn County, Kansas",,"9,656","9,375",43,65,30,6,137
"Logan County, Kansas",,"2,756","2,678",21,14,10,0,33
"Lyon County, Kansas",,"33,690","30,880",884,354,830,36,706
"McPherson County, Kansas",,"29,180","28,101",307,142,148,27,455
"Marion County, Kansas",,"12,660","12,257",107,73,27,8,188
"Marshall County, Kansas",,"10,117","9,915",27,33,23,3,116
"Meade County, Kansas",,"4,575","4,430",32,41,19,0,53
"Miami County, Kansas",,"32,787","31,479",431,202,120,16,539
"Mitchell County, Kansas",,"6,373","6,271",13,25,19,5,40
"Montgomery County, Kansas",,"35,471","30,273","2,086","1,234",207,43,"1,628"
"Morris County, Kansas",,"5,923","5,766",27,29,14,1,86
"Morton County, Kansas",,"3,233","3,057",16,39,67,9,45
"Nemaha County, Kansas",,"10,178","9,942",57,57,16,4,102
"Neosho County, Kansas",,"16,512","15,732",204,204,83,6,283
"Ness County, Kansas",,"3,107","3,035",18,25,4,0,25
"Norton County, Kansas",,"5,671","5,400",165,13,31,1,61
"Osage County, Kansas",,"16,295","15,862",48,112,37,5,231
"Osborne County, Kansas",,"3,858","3,778",8,19,18,0,35
"Ottawa County, Kansas",,"6,091","5,933",49,29,9,0,71
"Pawnee County, Kansas",,"6,973","6,423",327,47,33,6,137
"Phillips County, Kansas",,"5,642","5,500",23,23,41,0,55
"Pottawatomie County, Kansas",,"21,604","20,522",232,189,154,12,495
"Pratt County, Kansas",,"9,656","9,275",114,73,28,1,165
"Rawlins County, Kansas",,"2,519","2,480",8,5,5,0,21
"Reno County, Kansas",,"64,511","60,300","2,004",493,313,29,"1,372"
"Republic County, Kansas",,"4,980","4,897",26,12,15,0,30
"Rice County, Kansas",,"10,083","9,621",131,94,38,6,193
"Riley County, Kansas",,"71,115","60,516","4,663",485,"3,055",160,"2,236"
"Rooks County, Kansas",,"5,181","5,065",26,18,19,6,47
"Rush County, Kansas",,"3,307","3,244",8,16,8,0,31
"Russell County, Kansas",,"6,970","6,743",55,46,40,2,84
"Saline County, Kansas",,"55,606","50,595","1,904",360,"1,202",41,"1,504"
"Scott County, Kansas",,"4,936","4,817",19,35,24,6,35
"Sedgwick County, Kansas",,"498,365","405,388","47,577","7,037","20,941",522,"16,900"
"Seward County, Kansas",,"22,952","20,701",875,297,641,44,394
"Shawnee County, Kansas",,"177,934","150,653","15,816","2,588","2,161",155,"6,561"
"Sheridan County, Kansas",,"2,556","2,506",3,12,5,2,28
"Sherman County, Kansas",,"6,010","5,824",51,28,18,7,82
"Smith County, Kansas",,"3,853","3,771",10,11,7,4,50
"Stafford County, Kansas",,"4,437","4,263",20,82,20,1,51
"Stanton County, Kansas",,"2,235","2,147",14,37,4,5,28
"Stevens County, Kansas",,"5,724","5,545",25,70,16,7,61
"Sumner County, Kansas",,"24,132","23,019",249,297,56,4,507
"Thomas County, Kansas",,"7,900","7,664",51,60,40,7,78
"Trego County, Kansas",,"3,001","2,949",13,6,7,2,24
"Wabaunsee County, Kansas",,"7,053","6,845",30,37,12,0,129
"Wallace County, Kansas",,"1,485","1,445",8,7,1,0,24
"Washington County, Kansas",,"5,799","5,689",25,19,19,0,47
"Wichita County, Kansas",,"2,234","2,179",20,13,3,0,19
"Wilson County, Kansas",,"9,409","9,052",31,103,36,5,182
"Woodson County, Kansas",,"3,309","3,193",13,38,3,0,62
"Wyandotte County, Kansas",,"157,505","105,600","40,795","2,190","4,164",285,"4,471"
"Adair County, Kentucky",,"18,656","17,843",515,38,46,9,205
"Allen County, Kentucky",,"19,956","19,479",167,59,31,2,218
"Anderson County, Kentucky",,"21,421","20,597",434,35,107,6,242
"Ballard County, Kentucky",,"8,249","7,845",239,14,15,1,135
"Barren County, Kentucky",,"42,173","39,512","1,656",128,195,64,618
"Bath County, Kentucky",,"11,591","11,263",156,30,17,12,113
"Bell County, Kentucky",,"28,691","27,476",650,50,78,14,423
"Boone County, Kentucky",,"118,811","110,901","3,066",297,"2,583",108,"1,856"
"Bourbon County, Kentucky",,"19,985","18,312","1,231",65,71,4,302
"Boyd County, Kentucky",,"49,542","47,139","1,442",120,226,5,610
"Boyle County, Kentucky",,"28,432","25,436","2,156",69,229,7,535
"Bracken County, Kentucky",,"8,488","8,342",38,20,5,1,82
"Breathitt County, Kentucky",,"13,878","13,658",45,19,69,13,74
"Breckinridge County, Kentucky",,"20,059","19,295",411,73,42,2,236
"Bullitt County, Kentucky",,"74,319","72,359",504,256,379,26,795
"Butler County, Kentucky",,"12,690","12,465",48,55,20,0,102
"Caldwell County, Kentucky",,"12,984","12,082",674,19,34,2,173
"Calloway County, Kentucky",,"37,191","34,488","1,406",95,674,18,510
"Campbell County, Kentucky",,"90,336","85,753","2,320",140,796,32,"1,295"
"Carlisle County, Kentucky",,"5,104","4,976",40,29,14,0,45
"Carroll County, Kentucky",,"10,811","10,345",178,28,60,3,197
"Carter County, Kentucky",,"27,720","27,228",153,67,51,6,215
"Casey County, Kentucky",,"15,955","15,666",95,41,33,6,114
"Christian County, Kentucky",,"73,955","54,292","15,943",504,773,317,"2,126"
"Clark County, Kentucky",,"35,613","33,240","1,723",53,135,7,455
"Clay County, Kentucky",,"21,730","20,563",926,35,26,5,175
"Clinton County, Kentucky",,"10,272","10,041",44,19,13,45,110
"Crittenden County, Kentucky",,"9,315","9,119",76,35,17,7,61
"Cumberland County, Kentucky",,"6,856","6,570",186,8,9,0,83
"Daviess County, Kentucky",,"96,656","89,406","4,709",149,706,112,"1,574"
"Edmonson County, Kentucky",,"12,161","11,828",170,37,25,1,100
"Elliott County, Kentucky",,"7,852","7,521",268,11,5,7,40
"Estill County, Kentucky",,"14,672","14,495",29,39,14,0,95
"Fayette County, Kentucky",,"295,803","234,163","43,919","1,122","9,780",235,"6,584"
"Fleming County, Kentucky",,"14,348","13,999",192,12,35,1,109
"Floyd County, Kentucky",,"39,451","38,836",294,44,76,0,201
"Franklin County, Kentucky",,"49,285","42,247","5,180",128,713,11,"1,006"
"Fulton County, Kentucky",,"6,813","5,017","1,614",18,45,2,117
"Gallatin County, Kentucky",,"8,589","8,290",119,11,22,4,143
"Garrard County, Kentucky",,"16,912","16,347",354,26,37,8,140
"Grant County, Kentucky",,"24,662","24,096",194,59,83,40,190
"Graves County, Kentucky",,"37,121","34,611","1,623",127,137,30,593
"Grayson County, Kentucky",,"25,746","25,116",266,54,61,7,242
"Green County, Kentucky",,"11,258","10,836",231,40,17,1,133
"Greenup County, Kentucky",,"36,910","36,007",272,99,189,6,337
"Hancock County, Kentucky",,"8,565","8,364",77,22,20,0,82
"Hardin County, Kentucky",,"105,543","86,454","12,573",574,"2,158",363,"3,421"
"Harlan County, Kentucky",,"29,278","28,220",643,42,101,6,266
"Harrison County, Kentucky",,"18,846","18,167",392,39,41,13,194
"Hart County, Kentucky",,"18,199","17,033",891,35,36,1,203
"Henderson County, Kentucky",,"46,250","41,557","3,638",120,203,18,714
"Henry County, Kentucky",,"15,416","14,698",427,40,31,9,211
"Hickman County, Kentucky",,"4,902","4,351",458,12,12,1,68
"Hopkins County, Kentucky",,"46,920","42,607","3,107",75,260,28,843
"Jackson County, Kentucky",,"13,494","13,372",16,25,11,1,69
"Jefferson County, Kentucky",,"741,096","550,776","156,184","2,159","16,692",583,"14,702"
"Jessamine County, Kentucky",,"48,586","45,620","1,524",138,486,17,801
"Johnson County, Kentucky",,"23,356","23,003",58,30,91,4,170
"Kenton County, Kentucky",,"159,720","147,179","7,502",430,"1,513",222,"2,874"
"Knott County, Kentucky",,"16,346","16,097",126,15,15,4,89
"Knox County, Kentucky",,"31,883","31,077",347,74,67,7,311
"Larue County, Kentucky",,"14,193","13,484",447,40,26,3,193
"Laurel County, Kentucky",,"58,849","57,356",432,191,302,11,557
"Lawrence County, Kentucky",,"15,860","15,643",33,19,27,4,134
"Lee County, Kentucky",,"7,887","7,612",185,22,11,0,57
"Leslie County, Kentucky",,"11,310","11,192",22,14,15,1,66
"Letcher County, Kentucky",,"24,519","24,247",87,38,39,0,108
"Lewis County, Kentucky",,"13,870","13,727",38,29,8,0,68
"Lincoln County, Kentucky",,"24,742","23,760",571,49,43,1,318
"Livingston County, Kentucky",,"9,519","9,346",22,30,20,6,95
"Logan County, Kentucky",,"26,835","24,481","1,789",115,64,11,375
"Lyon County, Kentucky",,"8,314","7,750",445,12,24,1,82
"McCracken County, Kentucky",,"65,565","56,242","7,274",175,544,15,"1,315"
"McCreary County, Kentucky",,"18,306","16,864","1,038",136,28,9,231
"McLean County, Kentucky",,"9,531","9,374",55,32,10,0,60
"Madison County, Kentucky",,"82,916","76,604","3,694",288,782,42,"1,506"
"Magoffin County, Kentucky",,"13,333","13,188",18,37,8,0,82
"Marion County, Kentucky",,"19,820","17,743","1,625",32,117,7,296
"Marshall County, Kentucky",,"31,448","31,009",52,59,90,3,235
"Martin County, Kentucky",,"12,929","11,897",897,49,22,2,62
"Mason County, Kentucky",,"17,490","15,910","1,139",41,101,2,297
"Meade County, Kentucky",,"28,602","26,614",975,153,163,36,661
"Menifee County, Kentucky",,"6,306","6,107",118,7,7,1,66
"Mercer County, Kentucky",,"21,331","20,027",799,63,76,12,354
"Metcalfe County, Kentucky",,"10,099","9,841",156,16,14,1,71
"Monroe County, Kentucky",,"10,963","10,602",232,12,8,4,105
"Montgomery County, Kentucky",,"26,499","25,309",776,60,90,10,254
"Morgan County, Kentucky",,"13,923","13,141",603,32,47,2,98
"Muhlenberg County, Kentucky",,"31,499","29,652","1,443",48,43,5,308
"Nelson County, Kentucky",,"43,437","40,333","2,207",64,220,18,595
"Nicholas County, Kentucky",,"7,135","7,022",42,7,16,0,48
"Ohio County, Kentucky",,"23,842","23,331",203,65,52,12,179
"Oldham County, Kentucky",,"60,316","55,677","2,685",215,832,45,862
"Owen County, Kentucky",,"10,841","10,608",94,24,18,1,96
"Owsley County, Kentucky",,"4,755","4,698",15,12,3,0,27
"Pendleton County, Kentucky",,"14,877","14,643",59,35,20,3,117
"Perry County, Kentucky",,"28,712","27,812",438,37,149,4,272
"Pike County, Kentucky",,"65,024","63,868",359,65,301,14,417
"Powell County, Kentucky",,"12,613","12,394",80,15,19,4,101
"Pulaski County, Kentucky",,"63,063","61,214",749,162,296,19,623
"Robertson County, Kentucky",,"2,282","2,250",4,7,2,0,19
"Rockcastle County, Kentucky",,"17,056","16,842",20,46,14,2,132
"Rowan County, Kentucky",,"23,333","22,541",362,35,182,4,209
"Russell County, Kentucky",,"17,565","17,216",90,67,43,1,148
"Scott County, Kentucky",,"47,173","43,309","2,522",156,433,16,737
"Shelby County, Kentucky",,"42,074","37,527","3,228",197,274,86,762
"Simpson County, Kentucky",,"17,327","15,231","1,648",41,116,4,287
"Spencer County, Kentucky",,"17,061","16,505",262,36,71,10,177
"Taylor County, Kentucky",,"24,512","22,748","1,236",35,130,11,352
"Todd County, Kentucky",,"12,460","11,271","1,013",19,12,5,140
"Trigg County, Kentucky",,"14,339","12,837","1,175",42,44,5,236
"Trimble County, Kentucky",,"8,809","8,594",36,49,43,5,82
"Union County, Kentucky",,"15,007","12,903","1,813",32,51,7,201
"Warren County, Kentucky",,"113,792","97,519","10,460",352,"3,280",147,"2,034"
"Washington County, Kentucky",,"11,717","10,788",747,12,31,3,136
"Wayne County, Kentucky",,"20,813","20,118",332,61,69,18,215
"Webster County, Kentucky",,"13,621","12,757",572,42,35,57,158
"Whitley County, Kentucky",,"35,637","34,801",209,101,129,14,383
"Wolfe County, Kentucky",,"7,355","7,282",10,22,3,0,38
"Woodford County, Kentucky",,"24,939","23,157","1,250",46,130,31,325
"Acadia Parish, Louisiana",,"61,773","49,530","11,242",179,143,6,673
"Allen Parish, Louisiana",,"25,764","18,546","6,040",641,176,8,353
"Ascension Parish, Louisiana",,"107,215","80,590","24,017",387,"1,061",85,"1,075"
"Assumption Parish, Louisiana",,"23,421","15,859","7,167",148,62,14,171
